species,origin,redlist
Dianthus x hellwigii,native,NA
Dianthus x lorberi,native,NA
Dianthus x lucae,native,NA
Dianthus arenarius,native,C1r
Dianthus arenarius subsp. bohemicus,native,C1r
Dianthus armeria,native,C4a
Dianthus barbatus,NA,NA
Dianthus barbatus subsp. barbatus,NA,NA
Dianthus carthusianorum,native,NA
Dianthus carthusianorum agg.,native,NA
Dianthus carthusianorum subsp. capillifrons,native,C2r
Dianthus carthusianorum subsp. carthusianorum,native,NA
Dianthus carthusianorum subsp. latifolius,native,C3
Dianthus carthusianorum subsp. sudeticus,native,C1r
Dianthus caryophyllus,NA,NA
Dianthus chinensis,neo,NA
Dianthus deltoides,native,NA
Dianthus gratianopolitanus,native,C2r
Dianthus lumnitzeri,native,C1r
Dianthus moravicus,native,C2r
Dianthus pontederae,native,C4a
Dianthus superbus,native,C2t
Dianthus superbus subsp. alpestris,native,C1r
Dianthus superbus subsp. superbus,native,C2t
Dianthus superbus subsp. sylvestris,native,C4b
Dianthus sylvaticus,native,C3
Dicentra eximia,NA,NA
Dicentra formosa,neo,NA
Dichanthelium oligosanthes,neo,NA
Dichanthium sericeum,neo,NA
Dichondra argentea,neo,NA
Dictamnus albus,native,C3
Diervilla lonicera,neo,NA
Digitalis grandiflora,native,NA
Digitalis lanata,neo,NA
Digitalis lutea,neo,NA
Digitalis purpurea,NA,NA
Digitaria ciliaris,neo,NA
Digitaria ischaemum,arch,NA
Digitaria sanguinalis,arch,NA
Digitaria sanguinalis var. pectiniformis,arch,NA
Digitaria sanguinalis var. sanguinalis,arch,NA
Dinebra retroflexa,neo,NA
Diphasiastrum x issleri,native,C1b
Diphasiastrum x oellgaardii,native,C1b
Diphasiastrum x zeilleri,native,C1b
Diphasiastrum alpinum,native,C2b
Diphasiastrum complanatum,native,C2b
Diphasiastrum complanatum agg.,native,NA
Diphasiastrum tristachyum,native,C1t
Diplotaxis muralis,arch,C4a
Diplotaxis tenuifolia,arch,NA
Dipsacus x pseudosylvestris,native,NA
Dipsacus fullonum,native,NA
Dipsacus laciniatus,native,C3
Dipsacus pilosus,native,C3
Dipsacus sativus,NA,NA
Dipsacus strigosus,neo,NA
Dittrichia graveolens,neo,NA
Doronicum x excelsum,NA,NA
Doronicum austriacum,native,C4a
Doronicum columnae,neo,NA
Doronicum orientale,neo,NA
Doronicum pardalianches,neo,NA
Doronicum plantagineum,NA,NA
Dorotheanthus bellidiformis,NA,NA
Dorycnium germanicum,native,C3
Dorycnium herbaceum,native,C3
Dorycnium pentaphyllum agg.,native,NA
Draba muralis,native,C2b
Draba nemorosa,native,C1b
Draba sibirica,neo,NA
Dracocephalum austriacum,native,C1r
Dracocephalum moldavica,neo,NA
Dracocephalum parviflorum,neo,NA
Dracocephalum thymiflorum,neo,NA
Drosera x obovata,native,NA
Drosera anglica,native,C1b
Drosera intermedia,native,C1t
Drosera rotundifolia,native,C3
Drymocallis rupestris,native,C1t
Dryopteris x ambroseae,native,NA
Dryopteris x critica,native,NA
Dryopteris x deweveri,native,NA
Dryopteris x uliginosa,native,NA
Dryopteris affinis agg.,native,NA
Dryopteris borreri,native,C3
Dryopteris cambrensis,native,C1t
Dryopteris carthusiana,native,NA
Dryopteris carthusiana agg.,native,NA
Dryopteris cristata,native,C1t
Dryopteris dilatata,native,NA
Dryopteris expansa,native,C4a
Dryopteris filix-mas,native,NA
Dryopteris filix-mas agg.,native,NA
Dryopteris remota,native,C1t
Duchesnea indica,neo,NA
Dysphania ambrosioides,neo,NA
Dysphania botrys,arch,C3
Dysphania melanocarpa,neo,NA
Dysphania pumilio,neo,NA
Dysphania schraderiana,neo,NA
Ecballium elaterium,neo,NA
Echeveria elegans,NA,NA
Echinacea purpurea,neo,NA
Echinochloa colona,neo,NA
Echinochloa crus-galli,arch,NA
Echinochloa esculenta,neo,NA
Echinochloa frumentacea,neo,NA
Echinochloa muricata,neo,NA
Echinochloa oryzoides,neo,NA
Echinocystis lobata,neo,NA
Echinops bannaticus,neo,NA
Echinops exaltatus,neo,NA
Echinops ritro,NA,A1
Echinops ritro subsp. ruthenicus,NA,A1
Echinops sphaerocephalus,neo,NA
Echinops sphaerocephalus subsp. sphaerocephalus,neo,NA
Echium maculatum,native,C1b
Echium plantagineum,neo,NA
Echium vulgare,native,NA
Echium vulgare subsp. vulgare,native,NA
Eclipta prostrata,neo,NA
Egeria densa,neo,NA
Ehrharta longiflora,neo,NA
Eichhornia crassipes,neo,NA
Elaeagnus angustifolia,neo,NA
Elaeagnus commutata,neo,NA
Elaeagnus umbellata,NA,NA
Elatine alsinastrum,native,C1t
Elatine hexandra,native,C2t
Elatine hydropiper,native,C3
Elatine hydropiper agg.,native,NA
Elatine hydropiper s. l.,native,NA
Elatine orthosperma,native,C1r
Elatine triandra,native,C3
Eleocharis acicularis,native,NA
Eleocharis mamillata,native,C4a
Eleocharis mamillata subsp. austriaca,native,C3
Eleocharis mamillata subsp. mamillata,native,C4a
Eleocharis ovata,native,C4a
Eleocharis palustris,native,NA
Eleocharis palustris agg.,native,NA
Eleocharis palustris subsp. palustris,native,NA
Eleocharis palustris subsp. waltersii,native,NA
Eleocharis quinqueflora,native,C1t
Eleocharis uniglumis,native,C2b
Eleocharis uniglumis subsp. sterneri,native,A1
Eleocharis uniglumis subsp. uniglumis,native,C2b
Eleusine coracana,neo,NA
Eleusine coracana subsp. coracana,neo,NA
Eleusine indica,neo,NA
Eleusine tristachya,neo,NA
Ellisia nyctelea,NA,NA
Elodea canadensis,neo,NA
Elodea nuttallii,neo,NA
Elsholtzia ciliata,neo,NA
Elymus x mucronatus,native,NA
Elymus canadensis,neo,NA
Elymus caninus,native,NA
Elymus hispidus,native,NA
Elymus hispidus var. hispidus,native,NA
Elymus hispidus var. villosus,native,C4b
Elymus obtusiflorus,neo,NA
Elymus repens,native,NA
Elymus repens subsp. repens,native,NA
Elymus trachycaulus,NA,NA
Empetrum hermaphroditum,native,C3
Empetrum hermaphroditum x  E. nigrum,NA,NA
Empetrum nigrum,native,C3
Empetrum nigrum agg.,native,NA
Epilobium x aggregatum,native,NA
Epilobium x amphibolum,native,NA
Epilobium x beckhausii,native,NA
Epilobium x boissieri,native,NA
Epilobium x brachiatum,native,NA
Epilobium x celakovskyanum,native,NA
Epilobium x dacicum,native,NA
Epilobium x dasycarpum,native,NA
Epilobium x decipiens,native,NA
Epilobium x duftii,native,NA
Epilobium x erroneum,native,NA
Epilobium x finitimum,native,NA
Epilobium x floridulum,neo,NA
Epilobium x fossicola,neo,NA
Epilobium x glanduligerum,native,NA
Epilobium x goerzii,native,NA
Epilobium x grenieri,native,NA
Epilobium x haussknechtianum,native,NA
Epilobium x haynaldianum,native,NA
Epilobium x hectori-leveilleanum,native,NA
Epilobium x heterocaule,native,NA
Epilobium x iglaviense,neo,NA
Epilobium x interjectum,neo,NA
Epilobium x josefi-holubii,neo,NA
Epilobium x krausei,native,NA
Epilobium x laschianum,native,NA
Epilobium x limosum,native,NA
Epilobium x mentiens,neo,NA
Epilobium x montaniforme,native,NA
Epilobium x novae-civitatis,neo,NA
Epilobium x nutantiflorum,neo,NA
Epilobium x percollinum,native,NA
Epilobium x persicinum,native,NA
Epilobium x probstii,native,NA
Epilobium x prochazkae,neo,NA
Epilobium x pseudotrigonum,native,NA
Epilobium x purpureum,native,NA
Epilobium x rivulare,native,NA
Epilobium x rivulicola,native,NA
Epilobium x schmidtianum,native,NA
Epilobium x schulzeanum,native,NA
Epilobium x semiadnatum,native,NA
Epilobium x similatum,native,NA
Epilobium x subhirsutum,native,NA
Epilobium x uechtritzianum,native,NA
Epilobium x vicinum,neo,NA
Epilobium x waterfallii,native,NA
Epilobium x weissenburgense,native,NA
Epilobium adenocaulon,neo,NA
Epilobium alpestre,native,C3
Epilobium alsinifolium,native,C3
Epilobium anagallidifolium,native,C2r
Epilobium angustifolium,native,NA
Epilobium brachycarpum,neo,NA
Epilobium collinum,native,NA
Epilobium dodonaei,native,NA
Epilobium hirsutum,native,NA
Epilobium komarovianum,neo,NA
Epilobium lamyi,native,C4b
Epilobium lanceolatum,native,A1
Epilobium montanum,native,NA
Epilobium nutans,native,C2b
Epilobium obscurum,native,C3
Epilobium palustre,native,C4a
Epilobium parviflorum,native,C3
Epilobium roseum,native,NA
Epilobium tetragonum,native,NA
Epilobium tetragonum agg.,native,NA
Epimedium x perralchicum,neo,NA
Epimedium alpinum,neo,NA
Epipactis x breinerorum,native,NA
Epipactis x gauckleri,native,NA
Epipactis x hanseniorum,NA,NA
Epipactis x heterogama,native,NA
Epipactis x kezlinekii,NA,NA
Epipactis x merediorum,NA,NA
Epipactis x reinekei,native,NA
Epipactis x schmalhausenii,native,NA
Epipactis albensis,native,C2b
Epipactis atrorubens,native,C3
Epipactis distans,native,C2r
Epipactis distans x  E. helleborine,NA,NA
Epipactis exilis,NA,NA
Epipactis futakii,native,C1r
Epipactis greuteri,native,C2r
Epipactis helleborine,native,NA
Epipactis helleborine agg.,native,NA
Epipactis leptochila,native,C1r
Epipactis leutei,native,C2r
Epipactis microphylla,native,C2r
Epipactis moravica,native,C1r
Epipactis muelleri,native,C2b
Epipactis neglecta,native,C1r
Epipactis palustris,native,C2t
Epipactis pontica,native,C1r
Epipactis pseudopurpurata,native,C1r
Epipactis purpurata,native,C3
Epipactis tallosii,native,C1r
Epipactis voethii,native,C2r
Epipogium aphyllum,native,C1t
Equisetum x littorale,native,NA
Equisetum x meridionale,native,NA
Equisetum x moorei,native,C2t
Equisetum arvense,native,NA
Equisetum arvense subsp. arvense,native,NA
Equisetum fluviatile,native,NA
Equisetum hyemale,native,C2r
Equisetum palustre,native,NA
Equisetum pratense,native,C3
Equisetum ramosissimum,native,C2b
Equisetum sylvaticum,native,NA
Equisetum telmateia,native,C4a
Equisetum variegatum,native,C2b
Eragrostis albensis,neo,NA
Eragrostis cilianensis,neo,NA
Eragrostis mexicana,neo,NA
Eragrostis minor,arch,NA
Eragrostis multicaulis,neo,NA
Eragrostis pectinacea,neo,NA
Eragrostis pilosa,neo,NA
Eragrostis pilosa agg.,neo,NA
Eragrostis suaveolens,neo,NA
Eragrostis tef,neo,NA
Eranthis hyemalis,neo,NA
Erechtites hieraciifolius,neo,NA
Erianthus ravennae,NA,NA
Erica carnea,native,C3
Erica tetralix,native,C1r
Erigeron acris,native,NA
Erigeron acris x  E. angulosus,NA,NA
Erigeron acris x  E. macrophyllus,NA,NA
Erigeron acris agg.,native,NA
Erigeron angulosus,native,A1
Erigeron annuus,neo,NA
Erigeron annuus agg.,neo,NA
Erigeron annuus subsp. annuus,neo,NA
Erigeron annuus subsp. septentrionalis,neo,NA
Erigeron karvinskianus,NA,NA
Erigeron macrophyllus,native,C4a
Erigeron macrophyllus x  E. muralis,native,NA
Erigeron muralis,native,NA
Erigeron podolicus,native,C1b
Erigeron speciosus,neo,NA
Erigeron strigosus,neo,NA
Eriochloa procera,neo,NA
Eriochloa villosa,neo,NA
Eriophorum angustifolium,native,NA
Eriophorum gracile,native,C1t
Eriophorum latifolium,native,C2t
Eriophorum vaginatum,native,NA
Erodium botrys,neo,NA
Erodium cicutarium,arch,NA
Erodium gruinum,neo,NA
Erodium manescavii,neo,NA
Erodium moschatum,neo,NA
Erodium neuradifolium,neo,NA
Erophila spathulata,native,C4a
Erophila verna,native,NA
Erophila verna agg.,native,NA
Eruca sativa,NA,NA
Erucastrum gallicum,neo,NA
Erucastrum nasturtiifolium,neo,NA
Eryngium amethystinum,neo,NA
Eryngium campestre,native,NA
Eryngium giganteum,neo,NA
Eryngium maritimum,NA,NA
Eryngium planum,native,C1t
Erysimum andrzejowskianum,native,C4b
Erysimum capitatum,neo,NA
Erysimum capitatum var. purshii,neo,NA
Erysimum cheiranthoides,arch,NA
Erysimum cheiranthoides subsp. cheiranthoides,arch,NA
Erysimum cheiri,NA,NA
Erysimum crepidifolium,native,C4a
Erysimum diffusum,native,C3
Erysimum diffusum agg.,native,NA
Erysimum durum,native,NA
Erysimum odoratum,native,C3
Erysimum perofskianum,NA,NA
Erysimum repandum,arch,C1t
Erysimum virgatum,native,C4a
Erysimum virgatum agg.,native,NA
Erythronium dens-canis,NA,NA
Eschscholzia californica,neo,NA
Euclidium syriacum,arch,A1
Eudianthe coeli-rosa,NA,NA
Euonymus europaeus,native,NA
Euonymus fortunei,NA,NA
Euonymus verrucosus,native,NA
Eupatorium cannabinum,native,NA
Eupatorium cannabinum subsp. cannabinum,native,NA
Euphorbia x angustata,native,NA
Euphorbia x paradoxa,native,NA
Euphorbia x peisonis,native,NA
Euphorbia x pseudoesula,native,NA
Euphorbia x pseudolucida,native,NA
Euphorbia x pseudovirgata,native,NA
Euphorbia agraria,neo,NA
Euphorbia amygdaloides,native,C4a
Euphorbia angulata,native,C2r
Euphorbia cyparissias,native,NA
Euphorbia dulcis,native,NA
Euphorbia epithymoides,native,C3
Euphorbia esula,native,NA
Euphorbia esula agg.,native,NA
Euphorbia esula subsp. esula,native,NA
Euphorbia esula subsp. riparia,native,C4b
Euphorbia exigua,arch,C4a
Euphorbia falcata,arch,C2t
Euphorbia helioscopia,arch,NA
Euphorbia humifusa,neo,NA
Euphorbia illirica,native,C3
Euphorbia lagascae,neo,NA
Euphorbia lathyris,neo,NA
Euphorbia lucida,native,C2b
Euphorbia maculata,neo,NA
Euphorbia marginata,neo,NA
Euphorbia myrsinites,neo,NA
Euphorbia nutans,neo,NA
Euphorbia palustris,native,C3
Euphorbia peplis,NA,NA
Euphorbia peplus,arch,NA
Euphorbia platyphyllos,native,NA
Euphorbia platyphyllos subsp. literata,native,A2
Euphorbia platyphyllos subsp. platyphyllos,native,NA
Euphorbia prostrata,neo,NA
Euphorbia salicifolia,native,C1r
Euphorbia saratoi,neo,NA
Euphorbia seguieriana,native,C2b
Euphorbia seguieriana subsp. minor,native,C1r
Euphorbia seguieriana subsp. seguieriana,native,C2b
Euphorbia serpens,neo,NA
Euphorbia stricta,native,C3
Euphorbia taurinensis,neo,NA
Euphorbia virgata,native,NA
Euphrasia x glanduligera,native,NA
Euphrasia x haussknechtii,native,NA
Euphrasia x hybrida,native,NA
Euphrasia x lerschii,native,NA
Euphrasia x valentinii,native,NA
Euphrasia coerulea,native,C2b
Euphrasia micrantha,native,C1r
Euphrasia micrantha x  E. nemorosa subsp. nemorosa,NA,NA
Euphrasia minima agg.,native,C1r
Euphrasia nemorosa,native,C2t
Euphrasia nemorosa agg.,native,NA
Euphrasia officinalis,native,NA
Euphrasia officinalis subsp. picta,native,C1t
Euphrasia officinalis subsp. rostkoviana,native,NA
Euphrasia officinalis var. monticola,native,C1t
Euphrasia officinalis var. rostkoviana,native,NA
Euphrasia salisburgensis,neo,NA
Euphrasia stricta,native,NA
Euphrasia tatrae,native,C1r
Eurybia divaricata,neo,NA
Eurybia macrophylla,neo,NA
Exochorda racemosa,NA,NA
Fagopyrum esculentum,arch,NA
Fagopyrum tataricum,neo,NA
Fagus sylvatica,native,NA
Falcaria vulgaris,native,NA
Fallopia x convolvuloides,native,NA
Fallopia aubertii,neo,NA
Fallopia convolvulus,native,NA
Fallopia dumetorum,native,NA
Ferulago confusa,neo,NA
Festuca albensis,native,C1r
Festuca altissima,native,NA
Festuca amethystina,native,C1r
Festuca amethystina subsp. amethystina,native,C1r
Festuca arundinacea,native,NA
Festuca arundinacea x  Lolium multiflorum,NA,NA
Festuca arundinacea subsp. arundinacea,native,NA
Festuca arundinacea subsp. uechtritziana,native,C4b
Festuca brevipila,native,NA
Festuca csikhegyensis,native,NA
Festuca drymeja,native,C1r
Festuca filiformis,native,NA
Festuca gigantea,native,NA
Festuca guestfalica,native,NA
Festuca heterophylla,native,NA
Festuca ovina,native,NA
Festuca ovina agg.,native,NA
Festuca ovina infra-agg.,native,NA
Festuca ovina s. l.,native,NA
Festuca pallens,native,C4a
Festuca pallens x  F. valesiaca,NA,NA
Festuca pallens infra-agg.,native,NA
Festuca pallens s. l.,native,NA
Festuca pratensis,native,NA
Festuca pratensis agg.,native,NA
Festuca psammophila,native,C1b
Festuca psammophila subsp. dominii,native,C1b
Festuca psammophila subsp. psammophila,native,C1t
Festuca pseudodalmatica,native,C4a
Festuca pulchra,native,C3
Festuca rubra,native,NA
Festuca rubra x  Vulpia myuros,NA,NA
Festuca rubra subsp. commutata,native,C4b
Festuca rubra subsp. fallax,native,C4b
Festuca rubra subsp. juncea,native,NA
Festuca rubra subsp. rubra,native,NA
Festuca rupicola,native,NA
Festuca supina,native,C3
Festuca valesiaca,native,NA
Festuca valesiaca infra-agg.,native,NA
Festuca valesiaca s. l.,native,NA
Festuca versicolor,native,C1r
Festuca versicolor subsp. versicolor,native,C1r
Fibigia clypeata,neo,NA
Ficaria calthifolia,native,C3
Ficaria calthifolia x  F. verna subsp. verna,NA,NA
Ficaria verna,native,NA
Ficaria verna subsp. verna,native,NA
Ficus carica,NA,NA
Filago x intermedia,native,NA
Filago x mixta,native,NA
Filago arvensis,native,C3
Filago germanica,native,C1t
Filago germanica agg.,native,NA
Filago lutescens,native,C2b
Filago minima,native,C3
Filago pyramidata,neo,NA
Filipendula kamtschatica,neo,NA
Filipendula ulmaria,native,NA
Filipendula ulmaria subsp. picbaueri,native,C4b
Filipendula ulmaria subsp. ulmaria,native,NA
Filipendula vulgaris,native,NA
Foeniculum vulgare,arch,NA
Forsythia x intermedia,NA,NA
Forsythia suspensa,neo,NA
Fourraea,native,C3
Fragaria x ananassa,neo,NA
Fragaria x bifera,native,NA
Fragaria x intermedia,native,NA
Fragaria x neglecta,native,NA
Fragaria moschata,native,NA
Fragaria vesca,native,NA
Fragaria viridis,native,NA
Fragaria viridis subsp. viridis,native,NA
Frangula alnus,native,NA
Fraxinus americana,NA,NA
Fraxinus americana agg.,neo,NA
Fraxinus angustifolia,native,C4a
Fraxinus angustifolia subsp. danubialis,native,C4a
Fraxinus excelsior,native,NA
Fraxinus ornus,neo,NA
Fraxinus pennsylvanica,neo,NA
Fritillaria imperialis,NA,NA
Fritillaria meleagris,neo,NA
Fumana procumbens,native,C2r
Fumaria capreolata,neo,NA
Fumaria officinalis,arch,NA
Fumaria officinalis subsp. officinalis,arch,NA
Fumaria officinalis subsp. wirtgenii,NA,C4b
Fumaria parviflora,neo,NA
Fumaria rostellata,arch,C3
Fumaria schleicheri,arch,C4a
Fumaria vaillantii,arch,NA
Fumaria vaillantii subsp. schrammii,NA,C4b
Fumaria vaillantii subsp. vaillantii,arch,NA
Gagea bohemica,native,C2r
Gagea bohemica subsp. bohemica,native,C2r
Gagea bohemica subsp. saxatilis,native,C1r
Gagea lutea,native,NA
Gagea minima,native,C3
Gagea pratensis,native,NA
Gagea pratensis agg.,native,NA
Gagea pusilla,native,C3
Gagea transversalis,native,C4a
Gagea villosa,arch,C2b
Gaillardia x grandiflora,neo,NA
Gaillardia pulchella,neo,NA
Galanthus elwesii,neo,NA
Galanthus nivalis,native,C3
Galanthus woronowii,NA,NA
Galatella cana,native,A1
Galatella linosyris,native,C3
Galega officinalis,NA,C4a
Galega orientalis,neo,NA
Galeobdolon argentatum,neo,NA
Galeobdolon luteum,native,NA
Galeobdolon luteum agg.,native,NA
Galeobdolon montanum,native,NA
Galeopsis x carinthiaca,native,NA
Galeopsis x ludwigii,native,NA
Galeopsis x polychroma,native,NA
Galeopsis angustifolia,native,C3
Galeopsis bifida,native,NA
Galeopsis ladanum,native,C4a
Galeopsis ladanum agg.,native,NA
Galeopsis pernhofferi,native,NA
Galeopsis pubescens,native,NA
Galeopsis segetum,neo,NA
Galeopsis speciosa,native,NA
Galeopsis tetrahit,native,NA
Galeopsis tetrahit agg.,native,NA
Galinsoga parviflora,neo,NA
Galinsoga quadriradiata,neo,NA
Galium x pomeranicum,native,NA
Galium album,native,NA
Galium album subsp. album,native,NA
Galium album subsp. pycnotrichum,native,NA
Galium aparine,native,NA
Galium aparine agg.,native,NA
Galium austriacum,native,C1r
Galium boreale,native,C4a
Galium boreale subsp. boreale,native,C4a
Galium boreale subsp. exoletum,native,C1r
Galium elongatum,native,C4a
Galium glaucum,native,C4a
Galium glaucum var. glaucum,native,NA
Galium glaucum var. hirsutum,native,NA
Galium intermedium,native,NA
Galium mollugo,native,C4b
Galium mollugo agg.,native,NA
Galium murale,neo,NA
Galium odoratum,native,NA
Galium palustre,native,NA
Galium palustre agg.,native,NA
Galium parisiense,neo,NA
Galium parisiense var. leiocarpum,neo,NA
Galium parisiense var. parisiense,neo,NA
Galium pumilum,native,NA
Galium pumilum agg.,native,NA
Galium rivale,native,C4a
Galium rotundifolium,native,NA
Galium rubioides,neo,NA
Galium saxatile,native,NA
Galium spurium,arch,C4a
Galium spurium subsp. spurium,arch,C4a
Galium spurium var. echinospermum,arch,NA
Galium spurium var. spurium,arch,NA
Galium sudeticum,native,C1r
Galium sylvaticum,native,NA
Galium sylvaticum agg.,native,NA
Galium tricornutum,arch,C1t
Galium uliginosum,native,NA
Galium valdepilosum,native,C3
Galium valdepilosum subsp. valdepilosum,native,C3
Galium verrucosum,neo,NA
Galium verum,native,NA
Galium verum agg.,native,NA
Galium wirtgenii,native,C4b
Gastridium ventricosum,neo,NA
Gaudinia fragilis,neo,NA
Gaura lindheimeri,neo,NA
Genista germanica,native,NA
Genista pilosa,native,NA
Genista sagittalis,neo,NA
Genista tinctoria,native,NA
Gentiana acaulis,native,A1
Gentiana asclepiadea,native,C3
Gentiana cruciata,native,C2b
Gentiana cruciata subsp. cruciata,native,C2b
Gentiana lutea,neo,NA
Gentiana lutea subsp. lutea,neo,NA
Gentiana pannonica,native,C2r
Gentiana pneumonanthe,native,C2t
Gentiana punctata,native,C1r
Gentiana purpurea,neo,NA
Gentiana verna,native,C1t
Gentiana verna subsp. verna,native,C1t
Gentianella x austroamarella,native,NA
Gentianella amarella,native,C1t
Gentianella amarella subsp. amarella,native,C1t
Gentianella amarella subsp. lingulata,native,C1t
Gentianella campestris,native,C1t
Gentianella campestris x  G. germanica subsp. germanica,NA,NA
Gentianella campestris x  G. praecox subsp. bohemica,NA,NA
Gentianella campestris subsp. baltica,native,C1t
Gentianella campestris subsp. campestris,native,A1
Gentianella campestris subsp. suecica,native,A1
Gentianella germanica,native,A2
Gentianella germanica subsp. germanica,native,A2
Gentianella germanica subsp. germanica x  G. praecox subsp. bohemica,NA,NA
Gentianella germanica subsp. solstitialis,native,A1
Gentianella lutescens,native,C1t
Gentianella lutescens subsp. carpatica,native,C1t
Gentianella lutescens subsp. lutescens,native,C1t
Gentianella obtusifolia,native,C1t
Gentianella obtusifolia subsp. norica,neo,A3
Gentianella obtusifolia subsp. sturmiana,native,C1t
Gentianella obtusifolia subsp. sturmiana x  G. praecox subsp. bohemica,NA,NA
Gentianella praecox,native,C1t
Gentianella praecox subsp. bohemica,native,C1t
Gentianella praecox subsp. praecox,native,A1
Gentianopsis ciliata,native,C3
Geranium aequale,neo,NA
Geranium bohemicum,native,A1
Geranium columbinum,native,NA
Geranium dissectum,arch,NA
Geranium divaricatum,native,C1t
Geranium ibericum,neo,NA
Geranium lucidum,native,A1
Geranium macrorrhizum,neo,NA
Geranium molle,arch,C2t
Geranium molle agg.,arch,NA
Geranium molle subsp. molle,arch,C2t
Geranium palustre,native,NA
Geranium phaeum,native,NA
Geranium phaeum var. lividum,NA,NA
Geranium phaeum var. phaeum,native,NA
Geranium pratense,native,NA
Geranium purpureum,neo,NA
Geranium pusillum,arch,NA
Geranium pyrenaicum,neo,NA
Geranium reflexum,neo,NA
Geranium robertianum,native,NA
Geranium robertianum agg.,native,NA
Geranium rotundifolium,neo,NA
Geranium sanguineum,native,C4a
Geranium sibiricum,neo,NA
Geranium sylvaticum,native,NA
Geranium sylvaticum var. alpestre,native,NA
Geranium sylvaticum var. sylvaticum,native,NA
Geranium thunbergii,neo,NA
Geranium versicolor,neo,NA
Geum x intermedium,native,NA
Geum x spurium,neo,NA
Geum x sudeticum,native,NA
Geum aleppicum,neo,NA
Geum coccineum,NA,NA
Geum macrophyllum,neo,NA
Geum montanum,native,C2r
Geum rivale,native,NA
Geum urbanum,native,NA
Gilia achilleifolia,neo,NA
Gilia capitata,neo,NA
Gilia tricolor,neo,NA
Ginkgo biloba,NA,NA
Gladiolus communis,NA,NA
Gladiolus hortulanus,NA,NA
Gladiolus imbricatus,native,C2b
Gladiolus palustris,native,C1b
Gladiolus primulinus,NA,NA
Gladiolus tristis,NA,NA
Glaucium corniculatum,arch,C1t
Glaucium flavum,arch,NA
Glaux maritima,native,C1t
Glebionis coronaria,neo,NA
Glebionis segetum,neo,NA
Glechoma hederacea,native,NA
Glechoma hederacea agg.,native,NA
Glechoma hirsuta,native,C3
Gleditsia triacanthos,neo,NA
Globularia bisnagarica,native,C3
Glyceria x pedicellata,native,NA
Glyceria declinata,native,NA
Glyceria declinata x  G. fluitans,NA,NA
Glyceria fluitans,native,NA
Glyceria fluitans agg.,native,NA
Glyceria maxima,native,NA
Glyceria nemoralis,native,C3
Glyceria notata,native,NA
Glyceria striata,neo,NA
Glycine max,neo,NA
Glycyrrhiza glabra,NA,NA
Gnaphalium norvegicum,native,C3
Gnaphalium supinum,native,C1r
Gnaphalium sylvaticum,native,NA
Gnaphalium uliginosum,native,NA
Goodyera repens,native,C1b
Gratiola neglecta,neo,NA
Gratiola officinalis,native,C2t
Grindelia squarrosa,NA,NA
Groenlandia densa,native,C1t
Guizotia abyssinica,neo,NA
Gymnadenia x intermedia,native,NA
Gymnadenia conopsea,native,C2t
Gymnadenia conopsea agg.,native,NA
Gymnadenia densiflora,native,C1b
Gymnadenia odoratissima,native,A1
Gymnocarpium dryopteris,native,NA
Gymnocarpium robertianum,native,NA
Gymnocladus dioicus,NA,NA
Gypsophila elegans,neo,NA
Gypsophila fastigiata,native,C2b
Gypsophila fastigiata subsp. arenaria,native,C2b
Gypsophila fastigiata subsp. fastigiata,native,C2b
Gypsophila muralis,native,NA
Gypsophila paniculata,native,C1t
Gypsophila perfoliata,neo,NA
Gypsophila scorzonerifolia,neo,NA
Hackelia deflexa,native,C2b
Hacquetia epipactis,native,C4a
Hamamelis japonica,NA,NA
Hamamelis mollis,NA,NA
Hamamelis virginiana,NA,NA
Hammarbya paludosa,native,C1b
Hedera helix,native,NA
Hedysarum hedysaroides,native,C1r
Helenium autumnale,NA,NA
Helenium hybridum,NA,NA
Helianthemum canum,native,C2r
Helianthemum canum subsp. canum,native,C2r
Helianthemum grandiflorum,native,NA
Helianthemum grandiflorum subsp. grandiflorum,native,C1r
Helianthemum grandiflorum subsp. obscurum,native,NA
Helianthemum nummularium,neo,NA
Helianthemum nummularium subsp. nummularium,neo,NA
Helianthemum rupifragum,native,A1
Helianthus x laetiflorus,neo,NA
Helianthus x multiflorus,NA,NA
Helianthus annuus,neo,NA
Helianthus debilis,NA,NA
Helianthus giganteus,NA,NA
Helianthus pauciflorus,neo,NA
Helianthus petiolaris,neo,NA
Helianthus salicifolius,neo,NA
Helianthus strumosus,neo,NA
Helianthus tuberosus,neo,NA
Helichrysum arenarium,native,C2b
Helichrysum thianschanicum,neo,NA
Helictochloa,NA,NA
Helictotrichon desertorum,native,C1r
Helictotrichon desertorum subsp. basalticum,native,C1r
Helictotrichon planiculme,native,C2r
Helictotrichon pratense,native,C4a
Helictotrichon pratense subsp. hirtifolium,native,C4b
Helictotrichon pratense subsp. pratense,native,C4a
Helictotrichon pubescens,native,NA
Heliopsis helianthoides,neo,NA
Heliotropium europaeum,arch,C1t
Helleborus foetidus,neo,NA
Helleborus niger,NA,NA
Helleborus odorus,neo,NA
Helleborus orientalis,neo,NA
Helleborus purpurascens,NA,NA
Helleborus viridis,NA,NA
Helminthotheca echioides,neo,NA
Hemerocallis fulva,neo,NA
Hemerocallis lilioasphodelus,neo,NA
Hepatica nobilis,native,NA
Heracleum mantegazzianum,neo,NA
Heracleum persicum,neo,NA
