species,height_min,height_max,height_mean
Gentianella amarella subsp. amarella,0.15,0.55,0.35
Gentianella amarella subsp. lingulata,0.15,0.3,0.225
Gentianella campestris,0.05,0.25,0.15
Gentianella campestris subsp. baltica,0.05,0.2,0.125
Gentianella campestris subsp. campestris,0.05,0.25,0.15
Gentianella campestris subsp. suecica,0.05,0.15,0.1
Gentianella germanica,0.1,0.3,0.2
Gentianella lutescens,0.1,0.3,0.2
Gentianella obtusifolia,0.1,0.35,0.225
Gentianella praecox,0.1,0.5,0.3
Gentianopsis ciliata,0.1,0.3,0.2
Geranium bohemicum,0.3,0.6,0.45
Geranium columbinum,0.2,0.4,0.3
Geranium dissectum,0.2,0.5,0.35
Geranium divaricatum,0.3,0.5,0.4
Geranium ibericum,0.3,0.7,0.5
Geranium lucidum,0.1,0.35,0.225
Geranium macrorrhizum,0.2,0.5,0.35
Geranium molle subsp. molle,0.1,0.4,0.25
Geranium palustre,0.3,0.7,0.5
Geranium phaeum,0.4,0.6,0.5
Geranium pratense,0.3,0.6,0.45
Geranium purpureum,0.05,0.3,0.175
Geranium pusillum,0.2,0.3,0.25
Geranium pyrenaicum,0.2,0.5,0.35
Geranium robertianum,0.1,0.5,0.3
Geranium rotundifolium,0.1,0.4,0.25
Geranium sanguineum,0.2,0.5,0.35
Geranium sibiricum,0.3,0.7,0.5
Geranium sylvaticum,0.3,0.6,0.45
Geranium thunbergii,0.2,0.7,0.45
Geum aleppicum,0.3,1,0.65
Geum macrophyllum,0.25,0.6,0.425
Geum montanum,0.03,0.4,0.215
Geum rivale,0.15,0.7,0.425
Geum urbanum,0.2,0.9,0.55
Ginkgo biloba,20,40,30
Gladiolus imbricatus,0.3,0.7,0.5
Gladiolus palustris,0.3,0.6,0.45
Glaucium corniculatum,0.1,0.5,0.3
Glaux maritima,0.04,0.2,0.12
Glebionis coronaria,0.3,0.9,0.6
Glebionis segetum,0.3,0.4,0.35
Glechoma hederacea,0.15,0.4,0.275
Glechoma hirsuta,0.25,0.5,0.375
Gleditsia triacanthos,20,35,27.5
Globularia bisnagarica,0.05,0.3,0.175
Glyceria x pedicellata,0.4,1.3,0.85
Glyceria declinata,0.1,0.6,0.35
Glyceria fluitans,0.3,1.3,0.8
Glyceria maxima,0.8,2.5,1.65
Glyceria nemoralis,0.4,1,0.7
Glyceria notata,0.3,1,0.65
Glyceria striata,0.3,1,0.65
Glycine max,0.3,1,0.65
Glycyrrhiza glabra,0.5,1.5,1
Gnaphalium norvegicum,0.1,0.5,0.3
Gnaphalium supinum,0.02,0.12,0.07
Gnaphalium sylvaticum,0.03,0.8,0.415
Gnaphalium uliginosum,0.02,0.3,0.16
Goodyera repens,0.05,0.25,0.15
Gratiola neglecta,0.05,0.4,0.225
Gratiola officinalis,0.2,0.4,0.3
Grindelia squarrosa,0.3,1,0.65
Groenlandia densa,0.1,0.7,0.4
Guizotia abyssinica,0.4,1,0.7
Gymnadenia conopsea,0.25,0.7,0.475
Gymnadenia densiflora,0.4,0.8,0.6
Gymnadenia odoratissima,0.15,0.4,0.275
Gymnocarpium dryopteris,0.1,0.4,0.25
Gymnocarpium robertianum,0.15,0.5,0.325
Gymnocladus dioicus,15,30,22.5
Gypsophila elegans,0.25,0.5,0.375
Gypsophila fastigiata subsp. arenaria,0.2,0.6,0.4
Gypsophila fastigiata subsp. fastigiata,0.15,0.35,0.25
Gypsophila muralis,0.03,0.2,0.115
Gypsophila paniculata,0.6,1,0.8
Gypsophila perfoliata,NA,1,NA
Gypsophila scorzonerifolia,0.6,1.5,1.05
Hackelia deflexa,0.2,0.6,0.4
Hacquetia epipactis,0.15,0.25,0.2
Hamamelis japonica,2,3,2.5
Hamamelis mollis,2,5,3.5
Hamamelis virginiana,3,7,5
Hammarbya paludosa,0.07,0.17,0.12
Hedera helix,NA,20,NA
Hedysarum hedysaroides,0.1,0.5,0.3
Helenium hybridum,0.5,1.5,1
Helianthemum canum subsp. canum,0.05,0.2,0.125
Helianthemum grandiflorum,0.1,0.4,0.25
Helianthemum nummularium,0.1,0.2,0.15
Helianthemum rupifragum,0.05,0.2,0.125
Helianthus x laetiflorus,0.6,1.5,1.05
Helianthus annuus,0.4,4.5,2.45
Helianthus pauciflorus,0.6,1.5,1.05
Helianthus tuberosus,1.2,2.5,1.85
Helichrysum arenarium,0.1,0.4,0.25
Helictotrichon desertorum,0.3,0.6,0.45
Helictotrichon planiculme,0.7,1.2,0.95
Helictotrichon pratense,0.3,0.8,0.55
Helictotrichon pubescens,0.3,0.9,0.6
Heliopsis helianthoides,0.5,1.5,1
Heliotropium europaeum,0.15,0.3,0.225
Helleborus foetidus,0.4,1,0.7
Helleborus niger,0.15,0.3,0.225
Helleborus orientalis,0.2,0.4,0.3
Helleborus purpurascens,0.15,0.3,0.225
Helleborus viridis,0.15,0.4,0.275
Helminthotheca echioides,0.3,0.8,0.55
Hemerocallis fulva,0.5,1.5,1
Hemerocallis lilioasphodelus,0.5,1,0.75
Hepatica nobilis,0.05,0.15,0.1
Heracleum mantegazzianum,1,5,3
Heracleum sphondylium,0.3,2,1.15
Herminium monorchis,0.08,0.25,0.165
Herniaria glabra,0.01,0.03,0.02
Herniaria hirsuta,0.01,0.03,0.02
Herniaria incana,0.02,0.05,0.035
Hesperis matronalis subsp. candida,0.4,0.8,0.6
Hesperis matronalis subsp. matronalis,0.4,1,0.7
Hesperis matronalis subsp. schurii,0.4,0.8,0.6
Hesperis sylvestris subsp. sylvestris,0.4,0.9,0.65
Hesperis tristis,0.3,0.6,0.45
Heuchera sanguinea,0.2,0.5,0.35
Hibiscus trionum,0.1,0.5,0.3
Hieracium albinum,0.3,0.5,0.4
Hieracium alpinum,0.06,0.25,0.155
Hieracium apiculatum,0.15,0.35,0.25
Hieracium asperulum,0.2,0.4,0.3
Hieracium atratum,0.1,0.4,0.25
Hieracium bifidum,0.1,0.4,0.25
Hieracium caesium,0.2,0.5,0.35
Hieracium chlorocephalum,0.15,0.5,0.325
Hieracium chrysostyloides,0.2,0.25,0.225
Hieracium corconticum,0.25,0.5,0.375
Hieracium decipiens,0.15,0.4,0.275
Hieracium diaphanoides,0.3,0.8,0.55
Hieracium engleri,0.15,0.25,0.2
Hieracium flagelliferum,0.4,1.2,0.8
Hieracium fritzei agg.,0.1,0.3,0.2
Hieracium glandulosodentatum,0.2,0.4,0.3
Hieracium glaucinum,0.2,0.5,0.35
Hieracium grabowskianum,0.15,0.35,0.25
Hieracium hypochoeroides,0.2,0.5,0.35
Hieracium inuloides,0.3,1,0.65
Hieracium lachenalii,0.2,1,0.6
Hieracium laevigatum,0.3,1.2,0.75
Hieracium levicaule,0.2,0.8,0.5
Hieracium maculatum,0.3,0.8,0.55
Hieracium melanocephalum,0.1,0.25,0.175
Hieracium moravicum,0.2,0.4,0.3
Hieracium murorum,0.2,0.6,0.4
Hieracium neoplatyphyllum,0.3,1.2,0.75
Hieracium nigrescens,0.15,0.35,0.25
Hieracium nigritum,0.2,0.4,0.3
Hieracium nivimontis,0.25,0.45,0.35
Hieracium obscuratum,0.25,0.6,0.425
Hieracium onosmoides,0.2,0.6,0.4
Hieracium pedunculare,0.15,0.35,0.25
Hieracium prenanthoides,0.3,1.2,0.75
Hieracium pseudalbinum,0.3,0.5,0.4
Hieracium purkynei,0.25,0.35,0.3
Hieracium racemosum,0.1,0.8,0.45
Hieracium riphaeum,0.15,0.4,0.275
Hieracium sabaudum,0.5,1.5,1
Hieracium saxifragum,0.3,0.6,0.45
Hieracium schmidtii,0.15,0.4,0.275
Hieracium schustleri,0.12,0.3,0.21
Hieracium silesiacum,0.25,0.4,0.325
Hieracium stygium,0.15,0.5,0.325
Hieracium sudeticum,0.2,0.6,0.4
Hieracium sudetotubulosum,0.15,0.35,0.25
Hieracium umbellatum,0.2,1,0.6
Hieracium vasconicum,0.5,1.2,0.85
Hieracium villosum,0.15,0.25,0.2
Hieracium wimmeri,0.2,0.4,0.3
Hierochloe australis,0.3,0.7,0.5
Hierochloe odorata,0.3,0.8,0.55
Hierochloe repens,0.3,0.9,0.6
Himantoglossum adriaticum,0.3,0.6,0.45
Himantoglossum calcaratum subsp. rumelicum,0.3,0.7,0.5
Hippocrepis comosa,0.1,0.3,0.2
Hippocrepis emerus,0.3,1,0.65
Hippophae rhamnoides,6,7,6.5
Hippuris vulgaris,0.05,1.5,0.775
Hirschfeldia incana,0.3,0.8,0.55
Holcus lanatus,0.3,1,0.65
Holcus mollis,0.3,0.8,0.55
Holosteum umbellatum,0.04,0.35,0.195
Homogyne alpina,0.1,0.4,0.25
Hordelymus europaeus,0.6,1.2,0.9
Hordeum geniculatum,0.05,0.3,0.175
Hordeum jubatum,0.15,0.4,0.275
Hordeum marinum,0.06,0.5,0.28
Hordeum murinum subsp. murinum,0.15,0.4,0.275
Hordeum secalinum,0.2,0.7,0.45
Hordeum vulgare,0.6,1.3,0.95
Hottonia palustris,0.15,0.8,0.475
Humulus lupulus,2,10,6
Humulus scandens,1,6,3.5
Huperzia selago,0.05,0.3,0.175
Hyacinthella leucophaea,0.15,0.2,0.175
Hyacinthoides hispanica,0.2,0.45,0.325
Hyacinthoides italica,0.15,0.25,0.2
Hyacinthoides non-scripta,0.2,0.35,0.275
Hyacinthus orientalis,0.1,0.3,0.2
Hydrangea arborescens,1,3,2
Hydrangea macrophylla,1,2,1.5
Hydrocharis morsus-ranae,0.1,0.3,0.2
Hydrocotyle vulgaris,0.1,0.15,0.125
Hylotelephium ewersii,0.05,0.15,0.1
Hylotelephium jullianum,0.4,1,0.7
Hylotelephium maximum,0.2,0.6,0.4
Hylotelephium spectabile,0.3,0.7,0.5
Hylotelephium telephium,0.5,0.8,0.65
Hymenophyllum tunbrigense,0.02,0.06,0.04
Hyoscyamus niger,0.1,1.2,0.65
Hypericum annulatum,0.2,0.75,0.475
Hypericum dubium,0.5,0.8,0.65
Hypericum elegans,0.15,0.5,0.325
Hypericum hirsutum,0.4,1,0.7
Hypericum humifusum,0.01,0.1,0.055
Hypericum maculatum,0.2,0.6,0.4
Hypericum montanum,0.3,0.8,0.55
Hypericum perforatum,0.3,1,0.65
Hypericum pulchrum,0.2,0.6,0.4
Hypericum tetrapterum,0.3,0.6,0.45
Hypochaeris glabra,0.2,0.4,0.3
Hypochaeris maculata,0.3,0.5,0.4
Hypochaeris radicata,0.2,0.7,0.45
Hypochaeris uniflora,0.2,0.5,0.35
Hyssopus officinalis,0.2,0.6,0.4
Iberis saxatilis,0.05,0.1,0.075
Iberis sempervirens,0.2,0.3,0.25
Iberis umbellata,0.15,0.3,0.225
Ilex aquifolium,1,10,5.5
Illecebrum verticillatum,0.05,0.1,0.075
Impatiens balsamina,0.2,0.6,0.4
Impatiens glandulifera,0.7,3.2,1.95
Impatiens noli-tangere,0.4,0.9,0.65
Impatiens parviflora,0.3,0.8,0.55
Impatiens scabrida,0.6,1.2,0.9
Inula britannica,0.2,0.6,0.4
Inula conyzae,0.5,0.8,0.65
Inula ensifolia,0.1,0.3,0.2
Inula germanica,0.2,0.6,0.4
Inula helenium,1,2,1.5
Inula hirta,0.15,0.4,0.275
Inula oculus-christi,0.2,0.4,0.3
Inula salicina,0.2,0.7,0.45
Iris x germanica,0.3,1,0.65
Iris x sambucina,0.4,0.6,0.5
Iris aphylla subsp. aphylla,0.1,0.5,0.3
Iris arenaria,0.1,0.2,0.15
Iris graminea,0.2,0.3,0.25
Iris pallida,0.2,0.6,0.4
Iris pseudacorus,0.6,1.2,0.9
Iris pumila subsp. pumila,0.1,0.15,0.125
Iris sibirica,0.5,1.2,0.85
Iris spuria subsp. spuria,0.3,0.9,0.6
Iris variegata,0.2,0.4,0.3
Isatis tinctoria subsp. praecox,0.4,0.7,0.55
Isatis tinctoria subsp. tinctoria,0.5,0.8,0.65
Ismelia carinata,0.4,0.8,0.6
Isoetes echinospora,0.05,0.15,0.1
Isoetes lacustris,0.08,0.1,0.09
Isolepis setacea,0.02,0.15,0.085
Isopyrum thalictroides,0.15,0.3,0.225
Iva xanthiifolia,0.6,2,1.3
Jasione montana,0.15,0.5,0.325
Jovibarba globifera,0.15,0.3,0.225
Juglans cinerea,25,30,27.5
Juglans nigra,25,30,27.5
Juglans regia,20,25,22.5
Juncus acutiflorus,0.3,1,0.65
Juncus alpinoarticulatus,0.25,0.5,0.375
Juncus articulatus,0.1,0.6,0.35
Juncus atratus,0.3,1,0.65
Juncus bufonius,0.05,0.3,0.175
Juncus bulbosus,0.02,0.2,0.11
Juncus capitatus,0.03,0.12,0.075
Juncus compressus,0.15,0.35,0.25
Juncus conglomeratus,0.3,1,0.65
Juncus effusus,0.3,1.2,0.75
Juncus ensifolius,0.2,0.35,0.275
Juncus filiformis,0.15,0.45,0.3
Juncus gerardii,0.15,0.5,0.325
Juncus inflexus,0.3,0.7,0.5
Juncus minutulus,0.02,0.1,0.06
Juncus ranarius,0.03,0.2,0.115
Juncus sphaerocarpus,0.05,0.2,0.125
Juncus squarrosus,0.15,0.3,0.225
Juncus subnodulosus,0.5,1.2,0.85
Juncus tenageia,0.05,0.25,0.15
Juncus tenuis,0.15,0.35,0.25
Juniperus communis var. communis,1,12,6.5
Juniperus communis var. saxatilis,0.1,1,0.55
Juniperus sabina,0.2,2,1.1
Jurinea cyanoides,0.25,0.6,0.425
Jurinea mollis,0.3,0.7,0.5
Kerria japonica,1,2.5,1.75
Kickxia elatine subsp. elatine,0.05,0.1,0.075
Kickxia spuria subsp. spuria,0.05,0.1,0.075
Klasea lycopifolia,0.3,1.2,0.75
Knautia x posoniensis,0.5,1,0.75
Knautia arvensis subsp. arvensis,0.4,0.9,0.65
Knautia arvensis subsp. pannonica,0.4,0.8,0.6
Knautia dipsacifolia,0.5,1,0.75
Knautia drymeia subsp. drymeia,0.4,0.8,0.6
Knautia kitaibelii,0.5,1.1,0.8
Knautia pseudolongifolia,0.25,0.45,0.35
Knautia serpentinicola,0.25,0.7,0.475
Koeleria glauca,0.2,0.6,0.4
Koeleria macrantha,0.2,0.6,0.4
Koeleria pyramidata,0.3,1,0.65
Kolkwitzia amabilis,1,3,2
Krascheninnikovia ceratoides,0.2,1,0.6
Laburnum alpinum,4,9,6.5
Laburnum anagyroides,5,13,9
Lactuca perennis,0.3,0.6,0.45
Lactuca quercina,0.6,1.5,1.05
Lactuca saligna,0.3,0.6,0.45
Lactuca sativa,0.6,1,0.8
Lactuca serriola,0.5,1.2,0.85
Lactuca tatarica,0.3,0.8,0.55
Lactuca viminea,0.3,0.6,0.45
Lagurus ovatus,0.15,0.3,0.225
Lamium album,0.2,0.4,0.3
Lamium amplexicaule,0.05,0.25,0.15
Lamium maculatum,0.2,0.5,0.35
Lamium orvala,0.3,0.8,0.55
Lamium purpureum,0.1,0.3,0.2
Lamprocapnos spectabilis,0.4,0.9,0.65
Lappula semicincta,0.2,0.5,0.35
Lappula squarrosa,0.2,0.6,0.4
Lapsana communis subsp. communis,0.2,1.2,0.7
Larix decidua,20,50,35
Larix kaempferi,15,35,25
Laser trilobum,0.6,1.2,0.9
Laserpitium archangelica,0.8,1.5,1.15
Laserpitium latifolium,0.5,2,1.25
Laserpitium prutenicum,0.3,1,0.65
Lathraea squamaria subsp. squamaria,0.05,0.2,0.125
Lathyrus annuus,0.2,0.6,0.4
Lathyrus aphaca,0.2,0.7,0.45
Lathyrus cicera,0.15,0.5,0.325
Lathyrus heterophyllus,0.6,1.5,1.05
Lathyrus hirsutus,0.3,0.8,0.55
Lathyrus latifolius,0.5,2.2,1.35
Lathyrus linifolius,0.15,0.35,0.25
Lathyrus niger,0.3,1,0.65
Lathyrus nissolia,0.15,0.6,0.375
Lathyrus odoratus,0.5,2,1.25
Lathyrus palustris,0.3,0.7,0.5
Lathyrus pannonicus subsp. collinus,0.2,0.5,0.35
Lathyrus pannonicus subsp. pannonicus,0.25,0.5,0.375
Lathyrus pisiformis,0.5,1,0.75
Lathyrus pratensis,0.4,1,0.7
Lathyrus sativus,0.3,0.7,0.5
Lathyrus sylvestris,0.6,2.5,1.55
Lathyrus tuberosus,0.2,0.7,0.45
Lathyrus vernus,0.15,0.5,0.325
Lavandula angustifolia,0.2,0.6,0.4
Lavatera thuringiaca,0.5,1.2,0.85
Lavatera trimestris,0.6,1.2,0.9
Leersia oryzoides,0.5,1.5,1
Legousia hybrida,0.1,0.3,0.2
Legousia speculum-veneris,0.1,0.4,0.25
Lemna gibba,0.002,0.006,0.004
Lemna minor,0.002,0.005,0.0035
Lemna minuta,0.001,0.003,0.002
Lemna trisulca,0.005,0.015,0.01
Lemna turionifera,0.002,0.004,0.003
Lens culinaris,0.3,0.5,0.4
Leontodon hispidus,0.1,0.5,0.3
Leontodon saxatilis,0.03,0.35,0.19
Leontopodium alpinum,0.05,0.3,0.175
Leonurus cardiaca,0.5,1.5,1
Leonurus marrubiastrum,0.5,1.25,0.875
Lepidium campestre,0.2,0.5,0.35
Lepidium coronopus,0.05,0.3,0.175
Lepidium densiflorum,0.1,0.35,0.225
Lepidium didymum,0.1,0.3,0.2
Lepidium draba,0.2,0.5,0.35
Lepidium heterophyllum,0.1,0.3,0.2
Lepidium latifolium,0.3,1,0.65
Lepidium perfoliatum,0.2,0.5,0.35
Lepidium ruderale,0.1,0.5,0.3
Lepidium sativum,0.2,0.6,0.4
Lepidium virginicum,0.2,0.4,0.3
Lepyrodiclis holosteoides,0.4,1,0.7
Leucanthemella serotina,0.3,1.5,0.9
Leucanthemum ircutianum,0.3,0.8,0.55
Leucanthemum margaritae,0.25,0.9,0.575
Leucanthemum vulgare subsp. vulgare,0.3,0.8,0.55
Leucojum aestivum subsp. aestivum,0.3,0.6,0.45
Leucojum vernum,0.1,0.3,0.2
Levisticum officinale,1,2.3,1.65
Libanotis pyrenaica,0.4,1.2,0.8
Ligularia sibirica,0.5,1.5,1
Ligusticum mutellina,0.1,0.5,0.3
Ligustrum ovalifolium,2,5,3.5
Ligustrum vulgare,2,5,3.5
Lilium bulbiferum var. bulbiferum,0.4,1.2,0.8
Lilium candidum,0.6,1.5,1.05
Lilium martagon,0.4,1.5,0.95
Lilium regale,0.5,1.5,1
Lilium tigrinum,0.6,1,0.8
Limodorum abortivum,0.3,0.75,0.525
Limonium gmelinii,0.3,0.6,0.45
Limonium sinuatum,0.2,0.4,0.3
Limosella aquatica,0.02,0.1,0.06
Linaria arvensis,0.1,0.5,0.3
Linaria genistifolia,0.3,1,0.65
Linaria maroccana,0.15,0.6,0.375
Linaria pelisseriana,0.15,0.3,0.225
Linaria purpurea,0.2,0.9,0.55
Linaria repens,0.2,1,0.6
Linaria vulgaris,0.2,0.5,0.35
Lindernia dubia,0.06,0.2,0.13
Lindernia procumbens,0.02,0.1,0.06
Linnaea borealis,0.1,0.2,0.15
Linum austriacum subsp. austriacum,0.2,0.6,0.4
Linum catharticum,0.05,0.3,0.175
Linum flavum,0.2,0.5,0.35
Linum hirsutum subsp. hirsutum,0.25,0.6,0.425
Linum perenne subsp. perenne,0.2,0.6,0.4
Linum tenuifolium,0.15,0.4,0.275
Linum usitatissimum,0.3,1.2,0.75
Liparis loeselii,0.07,0.18,0.125
Liriodendron tulipifera,30,35,32.5
Listera cordata,0.05,0.15,0.1
Listera ovata,0.2,0.6,0.4
Lithospermum officinale,0.3,0.8,0.55
Littorella uniflora,0.02,0.15,0.085
Lobelia erinus,0.1,0.2,0.15
Lobularia maritima,0.1,0.3,0.2
Lolium multiflorum,0.3,1,0.65
Lolium perenne,0.1,0.6,0.35
Lolium remotum,0.3,0.6,0.45
Lolium temulentum,0.3,0.9,0.6
Lonicera caerulea,0.5,1.5,1
Lonicera caprifolium,1.5,4,2.75
Lonicera nigra,0.6,2,1.3
Lonicera periclymenum,1,4,2.5
Lonicera tatarica,1.5,3,2.25
Lonicera xylosteum,1,3,2
Loranthus europaeus,0.4,1,0.7
Lotus borbasii,0.1,0.4,0.25
Lotus corniculatus,0.15,0.6,0.375
Lotus maritimus,0.25,0.5,0.375
Lotus pedunculatus,0.1,1.1,0.6
Lotus tenuis,0.1,0.5,0.3
Ludwigia palustris,0.1,0.4,0.25
Lunaria annua,0.3,1,0.65
Lunaria rediviva,0.3,1.4,0.85
Lupinus albus,0.3,1.2,0.75
Lupinus angustifolius,0.5,0.8,0.65
Lupinus luteus,0.25,0.8,0.525
Lupinus polyphyllus,0.5,1.5,1
Luronium natans,0.1,1.4,0.75
Luzula campestris,0.05,0.2,0.125
Luzula divulgata,0.15,0.4,0.275
Luzula luzulina,0.1,0.2,0.15
Luzula luzuloides,0.3,0.7,0.5
Luzula multiflora,0.15,0.45,0.3
Luzula nivea,0.3,0.8,0.55
Luzula pallescens,0.12,0.3,0.21
Luzula pilosa,0.15,0.3,0.225
Luzula spicata,0.15,0.25,0.2
Luzula sudetica,0.15,0.35,0.25
Luzula sylvatica,0.45,0.9,0.675
Lychnis chalcedonica,0.5,1.1,0.8
Lychnis coronaria,0.3,0.6,0.45
Lychnis flos-cuculi,0.3,0.6,0.45
Lychnis flos-jovis,0.2,0.6,0.4
Lycium barbarum,1,3,2
Lycopodiella inundata,0.02,0.15,0.085
Lycopodium annotinum subsp. annotinum,0.15,0.4,0.275
Lycopodium clavatum subsp. clavatum,0.1,0.3,0.2
Lycopsis arvensis,0.2,0.5,0.35
Lycopsis orientalis,0.2,0.5,0.35
Lycopus europaeus subsp. europaeus,0.2,0.8,0.5
Lycopus exaltatus,0.7,1.5,1.1
Lysimachia ciliata,0.2,1.3,0.75
Lysimachia nemorum,0.1,0.4,0.25
Lysimachia nummularia,0.03,0.08,0.055
Lysimachia punctata,0.4,1.2,0.8
Lysimachia thyrsiflora,0.25,0.6,0.425
Lysimachia vulgaris,0.5,1.2,0.85
Lythrum hyssopifolia,0.05,0.4,0.225
Lythrum junceum,0.2,0.7,0.45
Lythrum salicaria,0.3,1.8,1.05
Lythrum virgatum,0.5,1.2,0.85
Madia sativa,0.4,0.6,0.5
Magnolia x soulangeana,3,5,4
Magnolia stellata,1.5,4,2.75
Mahonia aquifolium,0.5,1.8,1.15
Maianthemum bifolium,0.05,0.25,0.15
Malaxis monophyllos,0.08,0.3,0.19
Malcolmia africana,0.15,0.4,0.275
Malcolmia chia,0.1,0.3,0.2
Malcolmia graeca,0.05,0.3,0.175
Malcolmia maritima,0.1,0.5,0.3
Malope trifida,0.5,1.1,0.8
Malus x purpurea,5,8,6.5
Malus baccata,5,10,7.5
Malus domestica,6,14,10
Malus floribunda,4,10,7
Malus fusca,1,5,3
Malus sylvestris,4,10,7
Malva alcea,0.5,1.2,0.85
Malva moschata,0.3,1,0.65
Malva neglecta,0.1,0.5,0.3
Malva parviflora,0.15,0.4,0.275
Malva pusilla,0.08,0.5,0.29
Malva sylvestris,0.3,1.5,0.9
Malva verticillata var. crispa,0.5,2,1.25
Malva verticillata var. verticillata,0.3,2.2,1.25
Marrubium peregrinum,0.3,0.7,0.5
Marrubium vulgare,0.3,0.7,0.5
Matricaria chamomilla,0.1,0.5,0.3
Matricaria discoidea,0.05,0.4,0.225
Matteuccia struthiopteris,0.3,1.5,0.9
Matthiola incana subsp. incana,0.25,0.7,0.475
Matthiola longipetala subsp. bicornis,0.4,0.6,0.5
Matthiola longipetala subsp. longipetala,0.4,0.6,0.5
Medicago x varia,0.3,1,0.65
Medicago arabica,0.15,0.3,0.225
Medicago falcata,0.25,0.8,0.525
Medicago lupulina,0.1,0.6,0.35
Medicago minima,0.1,0.2,0.15
Medicago monspeliaca,0.05,0.3,0.175
Medicago polymorpha,0.1,0.3,0.2
Medicago prostrata,0.2,0.5,0.35
Medicago sativa,0.3,1,0.65
Melampyrum arvense,0.1,0.6,0.35
Melampyrum barbatum subsp. barbatum,0.1,0.4,0.25
Melampyrum cristatum,0.1,0.5,0.3
Melampyrum nemorosum var. nemorosum,0.1,0.7,0.4
Melampyrum nemorosum var. praecox,0.1,0.4,0.25
Melampyrum pratense,0.05,0.5,0.275
Melampyrum subalpinum,0.1,0.4,0.25
Melampyrum sylvaticum,0.1,0.4,0.25
Melica altissima,0.6,1.6,1.1
Melica ciliata subsp. ciliata,0.2,0.7,0.45
Melica nutans,0.3,0.6,0.45
Melica picta,0.3,0.6,0.45
Melica transsilvanica subsp. transsilvanica,0.3,1.2,0.75
Melica uniflora,0.3,0.5,0.4
Melilotus albus,0.3,2,1.15
Melilotus altissimus,0.5,1.5,1
Melilotus dentatus,0.3,1,0.65
Melilotus indicus,0.2,0.5,0.35
Melilotus officinalis,0.3,1.7,1
Melilotus siculus,0.2,0.6,0.4
Melilotus sulcatus,0.2,0.8,0.5
Melilotus wolgicus,0.4,1,0.7
Melissa officinalis,0.3,0.8,0.55
Melittis melissophyllum,0.2,0.6,0.4
Mentha x dalmatica,0.4,0.8,0.6
Mentha x dumetorum,0.5,1,0.75
Mentha x gracilis,0.4,0.8,0.6
Mentha x niliaca,0.6,1.2,0.9
Mentha x piperita,0.4,0.8,0.6
Mentha x rotundifolia,0.5,1.2,0.85
Mentha x verticillata,0.4,0.9,0.65
Mentha aquatica,0.45,1.5,0.975
Mentha arvensis,0.2,0.6,0.4
Mentha longifolia,0.5,1.3,0.9
Mentha spicata,0.4,1.2,0.8
Mentha suaveolens,0.3,0.6,0.45
Menyanthes trifoliata,0.15,0.3,0.225
Mercurialis annua,0.1,0.5,0.3
Mercurialis ovata,0.2,0.3,0.25
Mercurialis perennis,0.15,0.35,0.25
Mespilus germanica,2,5,3.5
Metasequoia glyptostroboides,15,30,22.5
Meum athamanticum,0.2,0.6,0.4
Mibora minima,NA,0.1,NA
Microrrhinum litorale,0.3,0.5,0.4
Microrrhinum minus,0.05,0.25,0.15
Microthlaspi perfoliatum,0.07,0.3,0.185
Milium effusum,0.5,1.2,0.85
Mimulus guttatus,0.25,0.5,0.375
Mimulus moschatus,0.1,0.25,0.175
Minuartia caespitosa,0.05,0.15,0.1
Minuartia corcontica,0.05,0.12,0.085
Minuartia rubra,0.05,0.2,0.125
Minuartia setacea,0.06,0.15,0.105
Minuartia smejkalii,0.08,0.15,0.115
Minuartia viscosa,0.03,0.1,0.065
Mirabilis jalapa,0.5,0.8,0.65
Miscanthus sacchariflorus,0.8,1.6,1.2
Miscanthus sinensis,0.8,2.2,1.5
Misopates orontium,0.2,0.5,0.35
Moehringia muscosa,0.08,0.2,0.14
Moehringia trinervia,0.1,0.3,0.2
Moenchia erecta,0.03,0.15,0.09
Molinia arundinacea,0.5,2.5,1.5
Molinia caerulea,0.15,1.5,0.825
Moneses uniflora,0.05,0.15,0.1
Monolepis nuttalliana,0.1,0.25,0.175
Monotropa hypophegea,0.05,0.25,0.15
Monotropa hypopitys,0.05,0.3,0.175
Montia arvensis,0.02,0.09,0.055
Montia fontana,0.05,0.1,0.075
Morus alba,5,17,11
Morus nigra,3,10,6.5
Muscari armeniacum,0.1,0.4,0.25
Muscari botryoides,0.1,0.3,0.2
Muscari comosum,0.3,0.7,0.5
Muscari neglectum,0.05,0.3,0.175
Muscari tenuiflorum,0.2,0.6,0.4
Myagrum perfoliatum,0.2,0.45,0.325
Mycelis muralis,0.2,0.9,0.55
Myosotis arvensis subsp. arvensis,0.15,0.6,0.375
Myosotis brevisetacea,0.3,1,0.65
Myosotis caespitosa,0.2,0.9,0.55
Myosotis discolor subsp. discolor,0.2,0.4,0.3
Myosotis nemorosa,0.2,0.7,0.45
Myosotis palustris,0.3,1,0.65
Myosotis ramosissima subsp. ramosissima,0.1,0.4,0.25
Myosotis sparsiflora,0.2,0.5,0.35
Myosotis stenophylla,0.1,0.5,0.3
Myosotis stricta,0.08,0.3,0.19
Myosotis sylvatica,0.2,0.6,0.4
Myosoton aquaticum,0.2,1.2,0.7
Myosurus minimus,0.05,0.15,0.1
Myricaria germanica,0.5,2,1.25
Myriophyllum alterniflorum,0.2,1.3,0.75
Myriophyllum spicatum,0.4,3,1.7
