RELEVE_NR,COUNTRY,REFERENCE,TABLE_NR,NR_IN_TAB,COVERSCALE,PROJECT,AUTHOR,DATE,SYNTAXON,SURF_AREA,UTM,ALTITUDE,EXPOSITION,INCLINATIO,COV_TOTAL,COV_TREES,COV_SHRUBS,COV_HERBS,COV_MOSSES,COV_LICHEN,COV_ALGAE,COV_LITTER,COV_WATER,COV_ROCK,TREE_HIGH,TREE_LOW,SHRUB_HIGH,SHRUB_LOW,HERB_HIGH,HERB_LOW,HERB_MAX,CRYPT_HIGH,MOSS_IDENT,LICH_IDENT,REMARKS,COORD_CODE,SYNTAX_OLD,RESURVEY,FOR_EVA,RS_PROJECT,RS_SITE,RS_PLOT,RS_OBSERV,PLOT_SHAPE,MANIPULATE,MANIPTYP,LOC_METHOD,DATA_OWNER,EVA_ACCESS,LONGITUDE,LATITUDE,PRECISION,LOCALITY,BIAS_MIN,BIAS_GPS,CEBA_GRID,FIELD_NR,HABITAT,GEOLOGY,SOIL,WATER_PH,S_PH_H2O,S_PH_KCL,S_PH_CACL2,SOIL_PH,CONDUCT,NR_ORIG,HLOUBK_CM,DNO,CEL_PLO_M2,ZAROST_PLO,ESY_CODE,ESY_NAME,COV_WOOD,SOIL_DPT,TRAMPLING,PLOT_TYPE,RS_CODE,RS_PROJTYP,RADIATION,HEAT,LES,NELES
183141,CZ,,,,02,,0832,20080710,LCA,100.00,,339,100,4,-1,60,5,50,15,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32BA,,,,,,,,,,,,0,160031.40,485039.40,0,"Mašovice, NP Podyjí; 2,9 km JV  od kostela",0,5,,61/2008,,,,0.00,3.93,3.54,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183142,CZ,,,,02,,0832,20080710,LDA,100.00,,348,250,6,-1,50,0,60,20,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,Y,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,33AA,,,,,,,,,,,,0,160005.60,485059.80,0,"Mašovice, NP Podyjí; 2,2 km VJV od kostela",0,5,,62/2008,,,,0.00,3.74,3.44,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183143,CZ,,,,02,,0832,20080710,LDA,100.00,,398,200,4,-1,65,5,20,15,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,33AA,,,,,,,,,,,,0,155853.80,485033.60,0,"Mašovice, NP Podyjí; 1,7 km JJV od kostela",0,4,,63/2008,,,,0.00,4.19,3.81,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183144,CZ,,,,02,,0832,20080710,LDA,100.00,,405,125,7,-1,50,5,45,25,0,0,0,0,15,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,33AA,,,,,,,,,,,,0,155909.00,485034.40,0,"Mašovice, NP Podyjí; 1,8 km JJV od kostela",0,4,,64/2008,,,,0.00,3.81,3.47,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183145,CZ,,,,02,,0832,20080710,LDA,100.00,,380,80,4,-1,60,0,65,15,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,33AA,,,,,,,,,,,,0,155938.20,485048.10,0,"Mašovice, NP Podyjí; 1,9 km JV  od kostela",0,5,,65/2008,,,,0.00,3.83,3.48,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183146,CZ,,,,02,,0832,20080711,LCA,100.00,,277,270,34,-1,40,15,40,30,0,0,0,0,30,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32BA,,,,,,,,,,,,0,155858.90,484900.50,0,"Havraníky, NP Podyjí; nad bývalým mlýnem Papírna",0,1,,66/2008,,,,0.00,4.04,3.75,0.00,0.00,0.0,0,,,0,0,LCC02,Genisto pilosae-Quercetum petraeae,0,0,,,,,0.0000,0.000,0,0
183147,CZ,,,,02,,0832,20080711,LBB,100.00,,376,,0,-1,75,0,30,8,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32AB,,,,,,,,,,,,0,155753.30,484843.90,0,"Havraníky, NP Podyjí; 750 m JZ od Devíti mlýnů",0,1,,67/2008,,,,0.00,4.38,4.08,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183148,CZ,,,,02,,0832,20080711,LDA,100.00,,412,,0,-1,70,0,35,5,0,0,0,0,8,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,33AA,,,,,,,,,,,,0,155729.80,484852.20,0,"Havraníky, NP Podyjí; 1,1 km ZJZ od Devíti mlýnů",0,7,,68/2008,,,,0.00,3.77,3.47,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183149,CZ,,,,02,,0832,20080714,LBB,100.00,,455,230,23,-1,60,15,60,15,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32AB,,,,,,,,,,,,0,155050.30,485304.80,0,"Čížov, NP Podyjí; 2 km ZSZ od kostela",0,6,,69/2008,,,,0.00,3.95,3.61,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
183150,CZ,,,,02,,0832,20080714,LCA,100.00,,402,245,30,-1,70,1,35,15,0,0,0,0,15,0,0,0.0,0.0,0,0,0,0,N,N,snimkovali: Irena Veselá + David Zeleny + Ching Feng Li;,01,32BA,,,,,,,,,,,,0,155011.80,485317.90,0,"Vranov n. Dyjí, NP Podyjí; 1,9 km VJV od kostela",0,6,,70/2008,,,,0.00,4.17,3.96,0.00,0.00,0.0,0,,,0,0,?,,0,0,,,,,0.0000,0.000,0,0
