SPECIES_NR,LETTERCODE,SYNONYM,TurbovegCzechiaSlovakia,Kaplan,ExpertSystem,nonvascular
4705,GLAU-SP,FALSE,Glaucium species,Glaucium species,Glaucium species,0
4706,GLAXMAR,FALSE,Glaux maritima,Glaux maritima,Glaux maritima,0
4707,GLAX-SP,FALSE,Glaux species,Glaux species,Glaux species,0
4708,GLEC#HE,FALSE,Glechoma hederacea agg.,Glechoma hederacea agg.,Glechoma hederacea agg.,0
4709,GLECHED,FALSE,Glechoma hederacea,Glechoma hederacea,Glechoma hederacea s.lat.,0
4710,GLECHIR,FALSE,Glechoma hirsuta,Glechoma hirsuta,Glechoma hederacea s.lat.,0
4711,GLEC-SP,FALSE,Glechoma species,Glechoma species,Glechoma hederacea s.lat.,0
4713,GLED-SP,FALSE,Gleditsia species,Gleditsia species,Gleditsia species,0
4712,GLEDTRI,FALSE,Gleditsia triacanthos,Gleditsia triacanthos,Gleditsia triacanthos,0
4714,GLOBCOR,FALSE,Globularia cordifolia,Globularia cordifolia,Globularia cordifolia,0
4715,GLOBNUD,FALSE,Globularia nudicaulis,Globularia nudicaulis,Globularia nudicaulis,0
4716,GLOBPUN,FALSE,Globularia punctata,Globularia bisnagarica,Globularia bisnagarica,0
4717,GLOB-SP,FALSE,Globularia species,Globularia species,Globularia species,0
4720,GLYC#FL,FALSE,Glyceria fluitans agg.,Glyceria fluitans agg.,Glyceria fluitans,0
13498,GLYC*DI,FALSE,Glyceria x digenea (G. maxima x notata),Glyceria x digenea (G. maxima x notata),Glyceria x digenea (G. maxima x notata),0
4726,GLYC*PE,FALSE,Glyceria x pedicellata (G. fluitans x notata),Glyceria x pedicellata,Glyceria x pedicellata,0
4718,GLYCDEC,FALSE,Glyceria declinata,Glyceria declinata,Glyceria declinata,0
4719,GLYCFLU,FALSE,Glyceria fluitans,Glyceria fluitans,Glyceria fluitans,0
4721,GLYCMAX,FALSE,Glyceria maxima,Glyceria maxima,Glyceria maxima,0
4722,GLYCNEM,FALSE,Glyceria nemoralis,Glyceria nemoralis,Glyceria nemoralis,0
4723,GLYCNOT,FALSE,Glyceria notata,Glyceria notata,Glyceria notata,0
50059,GLYCNOT,TRUE,Glyceria plicata,Glyceria notata,Glyceria notata,0
4727,GLYC-SP,FALSE,Glyceria species,Glyceria species,Glyceria species,0
4725,GLYCS-S,FALSE,Glyceria striata ssp. stricta,Glyceria striata ssp. stricta,Glyceria striata ssp. stricta,0
4724,GLYCSTR,FALSE,Glyceria striata,Glyceria striata,Glyceria striata,0
4728,GLYIMAX,FALSE,Glycine max,Glycine max,Glycine max,0
4729,GLYI-SP,FALSE,Glycine species,Glycine species,Glycine species,0
4730,GLYYGLA,FALSE,Glycyrrhiza glabra,Glycyrrhiza glabra,Glycyrrhiza glabra,0
4731,GLYY-SP,FALSE,Glycyrrhiza species,Glycyrrhiza species,Glycyrrhiza species,0
13499,GNAP*TR,FALSE,Gnaphalium x traunsteineri (G. norvegicum x sylvaticum),Gnaphalium x traunsteineri (G. norvegicum x sylvaticum),Gnaphalium x traunsteineri (G. norvegicum x sylvaticum),0
4736,GNAPHOP,FALSE,Gnaphalium hoppeanum,Gnaphalium hoppeanum,Gnaphalium hoppeanum,0
4737,GNAPNOR,FALSE,Gnaphalium norvegicum,Gnaphalium norvegicum,Gnaphalium norvegicum,0
4743,GNAP-SP,FALSE,Gnaphalium species,Gnaphalium species,Gnaphalium species,0
4738,GNAPSUP,FALSE,Gnaphalium supinum,Gnaphalium supinum,Gnaphalium supinum,0
4739,GNAPSYL,FALSE,Gnaphalium sylvaticum,Gnaphalium sylvaticum,Gnaphalium sylvaticum,0
4740,GNAPULI,FALSE,Gnaphalium uliginosum,Gnaphalium uliginosum,Gnaphalium uliginosum,0
4741,GNAPU-R,FALSE,Gnaphalium uliginosum ssp. rossicum,Gnaphalium uliginosum ssp. rossicum,Gnaphalium uliginosum ssp. rossicum,0
4742,GNAPU-U,FALSE,Gnaphalium uliginosum ssp. uliginosum,Gnaphalium uliginosum,Gnaphalium uliginosum,0
4744,GODEAMO,FALSE,Godetia amoena,Godetia amoena,Godetia amoena,0
4745,GODE-SP,FALSE,Godetia species,Godetia species,Godetia species,0
4746,GOMPGLO,FALSE,Gomphrena globosa,Gomphrena globosa,Gomphrena globosa,0
4747,GOMPHAA,FALSE,Gomphrena haageana,Gomphrena haageana,Gomphrena haageana,0
4748,GOMP-SP,FALSE,Gomphrena species,Gomphrena species,Gomphrena species,0
4755,GOODREP,FALSE,Goodyera repens,Goodyera repens,Goodyera repens,0
4756,GOOD-SP,FALSE,Goodyera species,Goodyera species,Goodyera species,0
14424,GRATNEG,FALSE,Gratiola neglecta,Gratiola neglecta,Gratiola neglecta,0
4762,GRATOFF,FALSE,Gratiola officinalis,Gratiola officinalis,Gratiola officinalis,0
4763,GRAT-SP,FALSE,Gratiola species,Gratiola species,Gratiola species,0
4796,GRIN-SP,FALSE,Grindelia species,Grindelia species,Grindelia species,0
4795,GRINSQU,FALSE,Grindelia squarrosa,Grindelia squarrosa,Grindelia squarrosa,0
4797,GROEDEN,FALSE,Groenlandia densa,Groenlandia densa,Groenlandia densa,0
4798,GROE-SP,FALSE,Groenlandia species,Groenlandia species,Groenlandia species,0
4799,GROSMAC,FALSE,Grossheimia macrocephala,Centaurea macrocephala,Centaurea macrocephala,0
4800,GROS-SP,FALSE,Grossheimia species,Centaurea species,Centaurea species,0
4801,GUIZABY,FALSE,Guizotia abyssinica,Guizotia abyssinica,Guizotia abyssinica,0
4802,GUIZ-SP,FALSE,Guizotia species,Guizotia species,Guizotia species,0
4847,GYMCDIO,FALSE,Gymnocladus dioicus,Gymnocladus dioicus,Gymnocladus dioicus,0
4848,GYMC-SP,FALSE,Gymnocladus species,Gymnocladus species,Gymnocladus species,0
13500,GYMN*IN,FALSE,Gymnadenia x intermedia (G. conopsea x odoratissima),Gymnadenia x intermedia,Gymnadenia x intermedia,0
4840,GYMNC-C,FALSE,Gymnadenia conopsea ssp. conopsea,Gymnadenia conopsea,Gymnadenia conopsea,0
