SPECIES_NR,LETTERCODE,SHORTNAME,ABBREVIAT,SYNONYM,VALID_NR
6262,LICTMAU,Lichenostigma maureri,Lichenostigma maureri,FALSE,6262
6263,LICTRUG,Lichenostigma rugosum,Lichenostigma rugosum,FALSE,6263
6264,LICT-SP,Lichenostigma species,Lichenostigma species,FALSE,6264
6265,LICLMET,Lichenothelia metzleri,Lichenothelia metzleri,FALSE,6265
6266,LICLSCO,Lichenothel scopularia,Lichenothelia scopularia,FALSE,6266
6267,LICL-SP,Lichenothelia species,Lichenothelia species,FALSE,6267
6268,LICISTI,Lichinella stipatula,Lichinella stipatula,FALSE,6268
6269,LICI-SP,Lichinella species,Lichinella species,FALSE,6269
6270,LIGUDEN,Ligularia dentata,Ligularia dentata,FALSE,6270
6271,LIGUSIB,Ligularia sibirica,Ligularia sibirica,FALSE,6271
6272,LIGUGLA,Ligularia glauca,Ligularia glauca,FALSE,6272
6273,LIGUWIL,Ligularia wilsoniana,Ligularia wilsoniana,FALSE,6273
6274,LIGU-SP,Ligularia species,Ligularia species,FALSE,6274
6275,LIGSMUT,Ligusticum mutellina,Ligusticum mutellina,FALSE,6275
6276,LIGSMUE,Ligusticum mutellinoid,Ligusticum mutellinoides,FALSE,6276
6277,LIGS-SP,Ligusticum species,Ligusticum species,FALSE,6277
6278,LIGTOVA,Ligustrum ovalifolium,Ligustrum ovalifolium,FALSE,6278
6279,LIGTVUL,Ligustrum vulgare,Ligustrum vulgare,FALSE,6279
6280,LIGT-SP,Ligustrum species,Ligustrum species,FALSE,6280
6281,LILIBUL,Lilium bulbiferum,Lilium bulbiferum,FALSE,6281
6282,LILIB-B,Liliu bulbi ssp. bulbi,Lilium bulbiferum ssp. bulbiferum,FALSE,6282
6283,LILIB-C,Liliu bulbi ssp. croce,Lilium bulbiferum ssp. croceum,FALSE,6283
6284,LILICAR,Lilium carniolicum,Lilium carniolicum,FALSE,6284
6285,LILIMAR,Lilium martagon,Lilium martagon,FALSE,6285
6286,LILITIG,Lilium tigrinum auct.,Lilium tigrinum auct.,FALSE,6286
6287,LILI-SP,Lilium species,Lilium species,FALSE,6287
6288,LIMOABO,Limodorum abortivum,Limodorum abortivum,FALSE,6288
6289,LIMO-SP,Limodorum species,Limodorum species,FALSE,6289
6290,LIMNGME,Limonium gmelinii,Limonium gmelinii,FALSE,6290
6291,LIMNSIN,Limonium sinuatum,Limonium sinuatum,FALSE,6291
6292,LIMN-SP,Limonium species,Limonium species,FALSE,6292
6293,LIMSAQU,Limosella aquatica,Limosella aquatica,FALSE,6293
6294,LIMS-SP,Limosella species,Limosella species,FALSE,6294
6295,LINAALP,Linaria alpina,Linaria alpina,FALSE,6295
6296,LINAA-A,Linar alpin ssp. alpin,Linaria alpina ssp. alpina,FALSE,6296
6297,LINAA-P,Linar alpin ssp. petra,Linaria alpina ssp. petraea,FALSE,6297
6298,LINAANG,Linaria angustissima,Linaria angustissima,FALSE,6298
6299,LINAARV,Linaria arvensis,Linaria arvensis,FALSE,6299
6300,LINABIE,Linaria biebersteinii,Linaria biebersteinii,FALSE,6300
6301,LINACAE,Linaria caesia,Linaria caesia,FALSE,6301
6302,LINADAL,Linaria dalmatica,Linaria dalmatica,FALSE,6302
6303,LINAGEN,Linaria genistifolia,Linaria genistifolia,FALSE,6303
6304,LINA#GE,Linaria genistifo agg.,Linaria genistifolia agg.,FALSE,6304
6305,LINAINC,Linaria incarnata,Linaria incarnata,FALSE,6305
6306,LINAMAR,Linaria maroccana,Linaria maroccana,FALSE,6306
6307,LINAREP,Linaria repens,Linaria repens,FALSE,6307
6308,LINASIM,Linaria simplex,Linaria simplex,FALSE,6308
6309,LINA#VU,Linaria vulgaris agg.,Linaria vulgaris agg.,FALSE,6309
6310,LINAVUL,Linaria vulgaris,Linaria vulgaris,FALSE,6310
6311,LINAPUR,Linaria purpurea,Linaria purpurea,FALSE,6311
6312,LINA-SP,Linaria species,Linaria species,FALSE,6312
6313,LINDPRO,Lindernia procumbens,Lindernia procumbens,FALSE,6313
6314,LIND-SP,Lindernia species,Lindernia species,FALSE,6314
6315,LINNBOR,Linnaea borealis,Linnaea borealis,FALSE,6315
6316,LINN-SP,Linnaea species,Linnaea species,FALSE,6316
6317,LINUALP,Linum alpinum,Linum alpinum,FALSE,6317
6318,LINUAUS,Linum austriacum,Linum austriacum,FALSE,6318
6319,LINUA-A,Linum austr ssp. austr,Linum austriacum ssp. austriacum,FALSE,6319
6320,LINUCAT,Linum catharticum,Linum catharticum,FALSE,6320
6321,LINUFLA,Linum flavum,Linum flavum,FALSE,6321
6322,LINUGRA,Linum grandiflorum,Linum grandiflorum,FALSE,6322
6323,LINUHIR,Linum hirsutum,Linum hirsutum,FALSE,6323
6324,LINUH-G,Linum hirsu ssp. glabr,Linum hirsutum ssp. glabrescens,FALSE,6324
6325,LINUH-H,Linum hirsu ssp. hirsu,Linum hirsutum ssp. hirsutum,FALSE,6325
6326,LINUMAR,Linum maritimum,Linum maritimum,FALSE,6326
6327,LINU#PE,Linum perenne agg.,Linum perenne agg.,FALSE,6327
6328,LINUPER,Linum perenne,Linum perenne,FALSE,6328
6329,LINUEXT,Linum extraaxillare,Linum extraaxillare,FALSE,6329
6330,LINUTEN,Linum tenuifolium,Linum tenuifolium,FALSE,6330
6331,LINUTRI,Linum trigynum,Linum trigynum,FALSE,6331
6332,LINUUSI,Linum usitatissimum,Linum usitatissimum,FALSE,6332
6333,LINUVIS,Linum viscosum,Linum viscosum,FALSE,6333
6334,LINU-SP,Linum species,Linum species,FALSE,6334
6335,LIPALOE,Liparis loeselii,Liparis loeselii,FALSE,6335
6336,LIPA-SP,Liparis species,Liparis species,FALSE,6336
6337,LISTCOR,Listera cordata,Listera cordata,FALSE,6337
6338,LISTOVA,Listera ovata,Listera ovata,FALSE,6338
6339,LIST-SP,Listera species,Listera species,FALSE,6339
6340,LITHTES,Lithographa tesserata,Lithographa tesserata,FALSE,6340
6341,LITHVAR,Lithographa varangaric,Lithographa varangarica,FALSE,6341
6342,LITH-SP,Lithographa species,Lithographa species,FALSE,6342
6343,LITOOFF,Lithospermu officinale,Lithospermum officinale,FALSE,6343
6344,LITO-SP,Lithospermum species,Lithospermum species,FALSE,6344
6345,LITTUNI,Littorella uniflora,Littorella uniflora,FALSE,6345
6346,LITT-SP,Littorella species,Littorella species,FALSE,6346
6347,LLOYSER,Lloydia serotina,Lloydia serotina,FALSE,6347
6348,LLOY-SP,Lloydia species,Lloydia species,FALSE,6348
6349,LOBAAMP,Lobaria amplissima,Lobaria amplissima,FALSE,6349
6350,LOBALIN,Lobaria linita,Lobaria linita,FALSE,6350
6351,LOBAPUL,Lobaria pulmonaria,Lobaria pulmonaria,FALSE,6351
6352,LOBASCR,Lobaria scrobiculata,Lobaria scrobiculata,FALSE,6352
