"","species_nr","lettercode","synonym","turboveg_czechia_slovakia","kaplan","expert_system","nonvascular","n"
"852",1091,"ASTADAS",FALSE,"Astragalus dasyanthus","Astragalus dasyanthus","Astragalus dasyanthus",0,NA
"853",1092,"ASTADEP",FALSE,"Astragalus depressus","Astragalus depressus","Astragalus depressus",0,NA
"854",1093,"ASTAEXS",FALSE,"Astragalus exscapus","Astragalus exscapus","Astragalus exscapus",0,NA
"855",1094,"ASTAFAL",FALSE,"Astragalus falcatus","Astragalus falcatus","Astragalus falcatus",0,NA
"856",1095,"ASTAFRI",FALSE,"Astragalus frigidus","Astragalus frigidus","Astragalus frigidus",0,NA
"857",1106,"ASTAGLC",FALSE,"Astragalus glycyphylloides","Astragalus glycyphylloides","Astragalus glycyphylloides",0,NA
"858",1096,"ASTAGLY",FALSE,"Astragalus glycyphyllos","Astragalus glycyphyllos","Astragalus glycyphyllos",0,2
"859",1098,"ASTAH-G",FALSE,"Astragalus hypoglottis ssp. gremlii","Astragalus hypoglottis ssp. gremlii","Astragalus hypoglottis ssp. gremlii",0,NA
"860",1097,"ASTAHYP",FALSE,"Astragalus hypoglottis","Astragalus hypoglottis","Astragalus hypoglottis",0,NA
"861",1099,"ASTALEO",FALSE,"Astragalus leontinus","Astragalus leontinus","Astragalus leontinus",0,NA
"862",1100,"ASTANOR",FALSE,"Astragalus norvegicus","Astragalus norvegicus","Astragalus norvegicus",0,NA
"863",1101,"ASTAONO",FALSE,"Astragalus onobrychis","Astragalus onobrychis","Astragalus onobrychis",0,NA
"864",1102,"ASTAPEN",FALSE,"Astragalus penduliflorus","Astragalus penduliflorus","Astragalus penduliflorus",0,NA
"865",1107,"ASTA-SP",FALSE,"Astragalus species","Astragalus species","Astragalus species",0,NA
"866",1103,"ASTASUL",FALSE,"Astragalus sulcatus","Astragalus sulcatus","Astragalus sulcatus",0,NA
"867",1104,"ASTAVES",FALSE,"Astragalus vesicarius","Astragalus vesicarius","Astragalus vesicarius",0,NA
"868",1105,"ASTAV-V",FALSE,"Astragalus vesicarius ssp. vesicarius","Astragalus vesicarius ssp. vesicarius","Astragalus vesicarius ssp. vesicarius",0,NA
"869",1114,"ASTDORI",FALSE,"Astrodaucus orientalis","Astrodaucus orientalis","Astrodaucus orientalis",0,NA
"870",1115,"ASTD-SP",FALSE,"Astrodaucus species","Astrodaucus species","Astrodaucus species",0,NA
"871",1064,"ASTE#NO",FALSE,"Aster novi-belgii agg.","Symphyotrichum novi-belgii agg.","Symphyotrichum novi-belgii agg.",0,NA
"872",50081,"ASTE#NO",TRUE,"Aster lanceolatus agg.","Symphyotrichum novi-belgii agg.","Symphyotrichum novi-belgii agg.",0,NA
"873",12259,"ASTE#SE",FALSE,"Aster sedifolius agg.","Aster sedifolius agg.","Aster sedifolius agg.",0,NA
"874",1070,"ASTE*SA",FALSE,"Aster x salignus (A. lanceolatus x novi-belgii)","Symphyotrichum x salignum","Symphyotrichum x salignum",0,NA
"875",1071,"ASTE*VE",FALSE,"Aster x versicolor (?A. laevis x novi-belgii)","Symphyotrichum x versicolor","Symphyotrichum x versicolor",0,NA
"876",1056,"ASTEALP",FALSE,"Aster alpinus","Aster alpinus","Aster alpinus",0,NA
"877",1057,"ASTEAME",FALSE,"Aster amellus","Aster amellus","Aster amellus",0,NA
"878",1058,"ASTEBEL",FALSE,"Aster bellidiastrum","Bellidiastrum michelii","Bellidiastrum michelii",0,NA
"879",1059,"ASTECAN",FALSE,"Aster canus","Galatella cana","Galatella cana",0,NA
"880",1072,"ASTECOR",FALSE,"Aster cordifolius","Symphyotrichum cordifolium","Symphyotrichum cordifolium",0,NA
"881",13105,"ASTED*N",FALSE,"Aster dumosus x novi-belgii","Symphyotrichum dumosum x S. novi-belgii","Symphyotrichum dumosum x S. novi-belgii",0,NA
"882",1073,"ASTEDIV",FALSE,"Aster divaricatus","Eurybia divaricata","Eurybia divaricata",0,NA
"883",13106,"ASTEERI",FALSE,"Aster ericoides","Symphyotrichum ericoides","Symphyotrichum ericoides",0,NA
"884",1060,"ASTELAE",FALSE,"Aster laevis","Symphyotrichum laeve","Symphyotrichum laeve",0,NA
"885",1061,"ASTELAN",FALSE,"Aster lanceolatus","Symphyotrichum lanceolatum","Symphyotrichum lanceolatum",0,NA
"886",1062,"ASTELIN",FALSE,"Aster linosyris","Galatella linosyris","Galatella linosyris",0,NA
"887",13107,"ASTEMAC",FALSE,"Aster macrophyllus","Eurybia macrophylla","Eurybia macrophylla",0,NA
"888",1065,"ASTENOI",FALSE,"Aster novi-belgii","Symphyotrichum novi-belgii","Symphyotrichum novi-belgii",0,NA
"889",1063,"ASTENOV",FALSE,"Aster novae-angliae","Symphyotrichum novae-angliae","Symphyotrichum novae-angliae",0,NA
"890",13108,"ASTEPAR",FALSE,"Aster parviflorus","Symphyotrichum parviflorum","Symphyotrichum parviflorum",0,NA
"891",1066,"ASTEPIL",FALSE,"Aster pilosus","Aster pilosus","Aster pilosus",0,NA
"892",13109,"ASTEPRA",FALSE,"Aster praealtus","Symphyotrichum praealtum","Symphyotrichum praealtum",0,NA
"893",12258,"ASTESED",FALSE,"Aster sedifolius","Aster sedifolius","Aster sedifolius",0,NA
"894",50001,"ASTESED",TRUE,"Aster punctatus","Aster punctatus","Aster punctatus",0,NA
"895",1067,"ASTESIB",FALSE,"Aster sibiricus","Aster sibiricus","Aster sibiricus",0,NA
"896",1074,"ASTE-SP",FALSE,"Aster species","Aster species","Aster novi-belgii s.lat.",0,NA
"897",1069,"ASTET-P",FALSE,"Aster tripolium ssp. pannonicus","Tripolium pannonicum subsp. pannonicum","Tripolium pannonicum subsp. pannonicum",0,NA
"898",13110,"ASTETRA",FALSE,"Aster tradescantii","Symphyotrichum tradescantii","Symphyotrichum tradescantii",0,NA
"899",1068,"ASTETRI",FALSE,"Aster tripolium","Tripolium pannonicum","Tripolium pannonicum",0,NA
"900",13111,"ASTIARE",FALSE,"Astilbe arendsii","Astilbe Arendsii Group","Astilbe Arendsii Group",0,NA
"901",1082,"ASTIJAP",FALSE,"Astilbe japonica","Astilbe japonica","Astilbe japonica",0,NA
"902",1083,"ASTI-SP",FALSE,"Astilbe species","Astilbe species","Astilbe species",0,NA
"903",1108,"ASTNBAV",FALSE,"Astrantia bavarica","Astrantia bavarica","Astrantia bavarica",0,NA
"904",1109,"ASTNCAR",FALSE,"Astrantia carniolica","Astrantia carniolica","Astrantia carniolica",0,NA
"905",1110,"ASTNMAJ",FALSE,"Astrantia major","Astrantia major","Astrantia major",0,NA
"906",1111,"ASTNM-C",FALSE,"Astrantia major ssp. carinthiaca","Astrantia major ssp. carinthiaca","Astrantia major ssp. carinthiaca",0,NA
"907",1112,"ASTNM-M",FALSE,"Astrantia major ssp. major","Astrantia major subsp. major","Astrantia major subsp. major",0,NA
"908",1113,"ASTN-SP",FALSE,"Astrantia species","Astrantia species","Astrantia species",0,NA
"909",1116,"ASYNCAN",FALSE,"Asyneuma canescens","Asyneuma canescens","Asyneuma canescens",0,NA
"910",1117,"ASYN-SP",FALSE,"Asyneuma species","Asyneuma species","Asyneuma species",0,NA
"911",1123,"ATHMCRE",FALSE,"Athamanta cretensis","Athamanta cretensis","Athamanta cretensis",0,NA
"912",1124,"ATHM-SP",FALSE,"Athamanta species","Athamanta species","Athamanta species",0,NA
"913",1127,"ATHYDIS",FALSE,"Athyrium distentifolium","Athyrium distentifolium","Athyrium distentifolium",0,NA
"914",1128,"ATHYFIL",FALSE,"Athyrium filix-femina","Athyrium filix-femina","Athyrium filix-femina",0,12
"915",1129,"ATHY-SP",FALSE,"Athyrium species","Athyrium species","Athyrium species",0,NA
"916",1151,"ATROBEL",FALSE,"Atropa bella-donna","Atropa bella-donna","Atropa bella-donna",0,NA
"917",1152,"ATRO-SP",FALSE,"Atropa species","Atropa species","Atropa species",0,NA
"918",13117,"ATRP*NO",FALSE,"Atriplex x northusiana (A. oblongifolia x patula)","Atriplex x northusiana","Atriplex x northusiana",0,NA
"919",13115,"ATRPH*S",FALSE,"Atriplex hortensis x sagittata","Atriplex hortensis x sagittata","Atriplex hortensis x sagittata",0,NA
"920",13113,"ATRPHET",FALSE,"Atriplex heterosperma","Atriplex micrantha","Atriplex micrantha",0,NA
"921",1140,"ATRPHOR",FALSE,"Atriplex hortensis","Atriplex hortensis","Atriplex hortensis",0,NA
"922",13114,"ATRPHOT",FALSE,"Atriplex hortensis var. rubra","Atriplex hortensis var. rubra","Atriplex hortensis var. rubra",0,NA
"923",1141,"ATRPLIT",FALSE,"Atriplex littoralis","Atriplex littoralis","Atriplex littoralis",0,NA
"924",1142,"ATRPMIC",FALSE,"Atriplex micrantha","Atriplex micrantha","Atriplex micrantha",0,NA
"925",1143,"ATRPOBL",FALSE,"Atriplex oblongifolia","Atriplex oblongifolia","Atriplex oblongifolia",0,NA
"926",1144,"ATRPPAT",FALSE,"Atriplex patula","Atriplex patula","Atriplex patula",0,NA
"927",1145,"ATRPPRO",FALSE,"Atriplex prostrata","Atriplex prostrata subsp. latifolia","Atriplex prostrata subsp. latifolia",0,NA
"928",13116,"ATRPPRS",FALSE,"Atriplex prostrata ssp. latifolia","Atriplex prostrata subsp. latifolia","Atriplex prostrata subsp. latifolia",0,NA
"929",1146,"ATRPROS",FALSE,"Atriplex rosea","Atriplex rosea","Atriplex rosea",0,NA
"930",1147,"ATRPSAG",FALSE,"Atriplex sagittata","Atriplex sagittata","Atriplex sagittata",0,NA
"931",1149,"ATRPSEM",FALSE,"Atriplex semilunaris","Atriplex semilunaris","Atriplex semilunaris",0,NA
"932",1150,"ATRP-SP",FALSE,"Atriplex species","Atriplex species","Atriplex species",0,NA
"933",1148,"ATRPTAT",FALSE,"Atriplex tatarica","Atriplex tatarica","Atriplex tatarica",0,NA
"934",1154,"AUBR*CU",FALSE,"Aubrieta x cultorum","Aubrieta x cultorum","Aubrieta x cultorum",0,NA
"935",1153,"AUBRCOL",FALSE,"Aubrieta columnae","Aubrieta columnae","Aubrieta columnae",0,NA
"936",1155,"AUBRDEL",FALSE,"Aubrieta deltoidea","Aubrieta deltoidea","Aubrieta deltoidea",0,NA
"937",1156,"AUBR-SP",FALSE,"Aubrieta species","Aubrieta species","Aubrieta species",0,NA
"938",1163,"AURIPET",FALSE,"Aurinia petraea","Aurinia petraea","Aurinia petraea",0,NA
"939",13118,"AURISAA",FALSE,"Aurinia saxatilis ssp. arduini","Aurinia saxatilis subsp. saxatilis","Aurinia saxatilis subsp. saxatilis",0,NA
"940",1164,"AURISAX",FALSE,"Aurinia saxatilis","Aurinia saxatilis","Aurinia saxatilis",0,NA
"941",1165,"AURI-SP",FALSE,"Aurinia species","Aurinia species","Aurinia species",0,NA
"942",1174,"AVEEFLE",FALSE,"Avenella flexuosa","Avenella flexuosa","Avenella flexuosa",0,14
"943",13125,"AVEEFLU",FALSE,"Avenella flexuosa ssp. flexuosa","Avenella flexuosa","Avenella flexuosa",0,NA
"944",13124,"AVEEFLX",FALSE,"Avenella flexuosa ssp. corsica","Avenella flexuosa ssp. corsica","Avenella flexuosa ssp. corsica",0,NA
"945",1175,"AVEE-SP",FALSE,"Avenella species","Avenella species","Avenella species",0,NA
"946",13123,"AVEN*VI",FALSE,"Avena x vilis (A. fatua x sativa ssp. sativa)","Avena vilis","Avena vilis",0,NA
"947",1166,"AVENBAR",FALSE,"Avena barbata","Avena barbata","Avena barbata",0,NA
"948",1167,"AVENBRE",FALSE,"Avena brevis","Avena brevis","Avena brevis",0,NA
"949",1168,"AVENFAT",FALSE,"Avena fatua auct.","Avena fatua","Avena fatua",0,NA
"950",1169,"AVENNUD",FALSE,"Avena nuda","Avena nuda","Avena nuda",0,NA
"951",13121,"AVENSAA",FALSE,"Avena sativa group Praegravis","Avena sativa Praegravis Group","Avena sativa Praegravis Group",0,NA
"952",13122,"AVENSAB",FALSE,"Avena sativa group Sativa","Avena sativa Sativa Group","Avena sativa Sativa Group",0,NA
"953",13120,"AVENSAI",FALSE,"Avena sativa group Chinensis","Avena sativa Chinensis Group","Avena sativa Chinensis Group",0,NA
"954",1170,"AVENSAT",FALSE,"Avena sativa","Avena sativa","Avena sativa",0,NA
"955",13119,"AVENSAV",FALSE,"Avena sativa group Contracta","Avena sativa Contracta Group","Avena sativa Contracta Group",0,NA
"956",1173,"AVEN-SP",FALSE,"Avena species","Avena species","Avena species",0,NA
"957",1171,"AVENSTE",FALSE,"Avena sterilis","Avena sterilis","Avena sterilis",0,NA
"958",1172,"AVENSTR",FALSE,"Avena strigosa","Avena strigosa","Avena strigosa",0,NA
"959",1186,"AVEU#PR",FALSE,"Avenula pratensis agg.","Helictotrichon pratense","Helictotrichon pratense",0,NA
"960",1177,"AVEUA-A",FALSE,"Avenula adsurgens ssp. adsurgens","Avenula adsurgens ssp. adsurgens","Avenula adsurgens ssp. adsurgens",0,NA
"961",1176,"AVEUADS",FALSE,"Avenula adsurgens","Avenula adsurgens","Avenula adsurgens",0,NA
"962",1178,"AVEUA-U",FALSE,"Avenula adsurgens ssp. ausserdorferi","Avenula adsurgens ssp. ausserdorferi","Avenula adsurgens ssp. ausserdorferi",0,NA
