RELEVE_NR,SPECIES_NR,COVER_CODE,LAYER,_ORIG_NAME
183124,4220,+,7,
183124,4283,1,6,
183124,4430,+,7,
183124,4614,+,6,
183124,5127,1,6,
183124,5137,2m,6,
183124,6477,2a,6,
183124,6674,+,6,
183124,8026,r,7,
183124,8058,2m,1,
183124,8218,+,6,
183124,8851,3,1,
183124,8851,2m,7,
183124,10205,r,6,
183124,12126,+,1,
183125,83,r,7,
183125,249,1,6,
183125,961,2m,6,
183125,2206,1,6,
183125,2271,2b,6,
183125,2315,2a,1,
183125,2315,2m,4,
183125,2315,1,7,
183125,3067,2m,6,
183125,3367,+,6,
183125,4118,r,6,
183125,4568,2m,6,
183125,4584,r,6,
183125,5137,+,6,
183125,5717,1,6,
183125,5730,+,6,
183125,6477,1,6,
183125,6696,2a,6,
183125,7385,r,6,
183125,8218,+,6,
183125,8375,+,6,
183125,8782,r,6,
183125,8851,4,1,
183125,8851,2b,7,
183125,9408,r,7,
183125,10563,2m,6,
183125,11287,2m,1,
183125,11287,2m,4,
183125,11288,2m,4,
183126,457,r,6,
183126,705,2m,6,
183126,1847,+,6,
183126,2248,+,6,
183126,3351,+,6,
183126,3628,+,6,
183126,4283,3,6,
183126,4574,r,6,
183126,4610,+,6,
183126,4614,+,6,
183126,5127,+,6,
183126,5136,1,6,
183126,5137,1,6,
183126,5165,+,6,
183126,6480,+,6,
183126,6499,2m,6,
183126,6674,+,6,
183126,8218,+,6,
183126,8375,1,6,
183126,8851,4,1,
183126,8851,2m,7,
183126,9459,r,6,
183126,10205,1,6,
183126,11833,+,6,
183126,12072,1,6,
183127,3067,2m,6,
183127,4220,r,7,
183127,4283,r,6,
183127,5137,1,6,
183127,6477,1,6,
183127,6674,1,6,
183127,8218,2m,6,
183127,8851,5,1,
183127,8851,2a,7,
183127,10563,+,6,
183127,12126,+,1,
183128,1775,+,6,
183128,2248,2m,6,
183128,3628,+,6,
183128,4283,2m,6,
183128,5137,2m,6,
183128,5160,+,6,
183128,6477,2m,6,
183128,6674,2m,6,
183128,8218,3,6,
183128,8375,r,6,
183128,8851,4,1,
183128,8851,2a,7,
183128,10707,+,6,
183128,11821,r,6,
183128,12126,+,1,
183129,83,r,7,
183129,2206,2m,6,
183129,4111,r,7,
183129,4283,1,6,
183129,4426,+,7,
183129,4430,+,7,
183129,4610,r,6,
183129,4614,r,6,
183129,5127,+,6,
183129,5137,1,6,
183129,5165,+,6,
183129,5717,1,6,
183129,8218,2a,6,
183129,8653,r,7,
183129,8851,5,1,
183129,8851,2a,7,
183129,9408,r,7,
183129,12126,+,1,
183130,249,r,6,
183130,705,1,6,
183130,2272,+,6,
183130,4283,1,6,
183130,4614,+,6,
183130,5136,+,6,
183130,5353,+,6,
183130,5717,+,6,
183130,6499,+,6,
183130,8218,3,6,
183130,8375,r,6,
183130,8851,4,1,
183130,8851,1,7,
183130,10707,+,6,
183130,11821,+,6,
183130,12072,2m,6,
183130,12126,+,1,
183131,647,+,6,
183131,1174,r,6,
183131,1775,2m,6,
183131,2206,+,6,
183131,2246,+,6,
183131,2315,r,7,
183131,2651,r,6,
183131,3230,+,6,
183131,4283,r,6,
183131,4420,r,6,
183131,4544,r,6,
183131,4552,+,6,
183131,4577,+,6,
183131,4614,r,6,
183131,5137,+,6,
183131,5352,r,6,
183131,5432,r,6,
183131,6477,1,6,
183131,6941,+,6,
183131,8026,r,7,
183131,8168,r,6,
183131,8218,+,6,
183131,8851,4,1,
183131,8851,+,4,
183131,8851,2a,7,
183131,9533,r,6,
183131,11833,r,6,
183131,12110,+,6,
183132,647,+,6,
183132,1775,r,6,
183132,2248,r,6,
183132,2315,2a,1,
183132,2315,2m,4,
183132,2315,r,7,
183132,3067,2a,6,
183132,4544,r,6,
183132,4552,r,6,
183132,4614,r,6,
183132,5127,r,6,
183132,5137,+,6,
183132,5432,r,6,
183132,5717,r,6,
183132,6477,+,6,
183132,6545,+,6,
183132,8218,r,6,
183132,8375,r,6,
183132,8653,r,7,
183132,8851,4,1,
183132,8851,1,7,
183132,10307,r,6,
183132,11735,r,6,
183133,80,2a,7,
183133,83,r,7,
183133,1451,r,6,
183133,1506,r,6,
183133,2315,1,7,
183133,2455,r,6,
183133,4283,2m,6,
183133,4419,1,6,
183133,4430,+,7,
183133,4614,r,6,
183133,4688,r,6,
183133,5136,2m,6,
183133,5137,2m,6,
183133,5165,1,6,
183133,5353,r,6,
183133,5431,r,6,
183133,6477,1,6,
183133,6941,+,6,
183133,8218,2m,6,
183133,8653,r,7,
183133,8669,r,7,
183133,8851,4,1,
183133,8851,1,7,
183133,9408,+,7,
183133,9705,r,6,
183133,10205,1,6,
183133,10307,r,6,
183133,10337,r,7,
183133,10350,r,7,
183133,11477,1,6,
183133,11821,1,6,
183133,12109,2m,6,
183134,80,1,1,
183134,80,2b,7,
183134,83,r,7,
183134,1506,1,6,
183134,2018,2m,6,
183134,2032,r,6,
183134,2206,+,6,
183134,2315,3,1,
183134,2315,2m,4,
183134,2315,1,7,
183134,3067,2b,6,
183134,3093,1,7,
183134,3169,1,7,
183134,3367,1,6,
183134,3977,r,6,
183134,4111,+,7,
183134,4419,+,6,
183134,4430,r,7,
183134,4552,+,6,
183134,4568,2b,6,
183134,4688,r,6,
183134,4991,+,6,
183134,5127,r,6,
183134,5717,1,6,
183134,5730,2m,6,
183134,6693,r,6,
183134,6696,3,6,
183134,8218,2m,6,
183134,8374,1,6,
183134,8375,r,6,
183134,8599,r,6,
183134,8653,r,7,
183134,8782,1,6,
183134,8851,4,1,
183134,8851,+,7,
183134,9408,+,7,
183134,10350,+,7,
183134,10563,2m,6,
183134,10707,+,6,
183134,12101,1,6,
183135,435,r,6,
183135,1775,+,6,
183135,2315,2a,4,
183135,2315,+,7,
183135,4283,1,6,
183135,4614,+,6,
183135,5127,1,6,
183135,5137,+,6,
183135,5165,r,6,
183135,5717,r,6,
183135,5730,+,6,
183135,6477,2a,6,
183135,8058,+,1,
183135,8218,2m,6,
183135,8844,r,7,
183135,8851,4,1,
183135,8851,2m,7,
183135,10350,r,7,
183135,11821,+,6,
183136,435,r,6,
183136,2013,r,6,
183136,2206,r,6,
183136,2315,2a,1,
183136,2315,1,7,
183136,4283,1,6,
183136,4552,r,6,
183136,4568,r,6,
183136,5127,+,6,
183136,5137,1,6,
183136,5730,r,6,
183136,6477,2m,6,
183136,6696,2m,6,
183136,8058,2m,1,
183136,8218,3,6,
183136,8669,r,7,
183136,8851,4,1,
183136,8851,2m,7,
183136,10205,+,6,
183136,11821,+,6,
183137,83,r,7,
183137,435,2m,6,
183137,457,r,6,
183137,705,2m,6,
183137,1775,+,6,
183137,2013,+,6,
183137,2136,1,6,
183137,2315,2m,4,
183137,2315,r,7,
183137,2639,r,6,
183137,3367,1,6,
183137,3453,+,6,
183137,3628,1,6,
183137,4227,+,6,
183137,4283,+,6,
183137,4552,+,6,
183137,4573,+,6,
183137,5136,r,6,
183137,5137,1,6,
183137,5165,r,6,
183137,5432,r,6,
183137,5680,+,6,
183137,5717,r,6,
183137,6477,1,6,
183137,6696,3,6,
183137,6999,+,6,
183137,8058,2m,1,
183137,8218,2b,6,
183137,8375,+,6,
183137,8653,r,7,
183137,8669,r,7,
183137,8851,4,1,
183137,8851,2m,7,
183137,10021,r,6,
183137,10225,1,6,
183137,10563,r,6,
183137,10707,+,6,
183137,12041,r,6,
183138,435,r,6,
183138,1174,+,6,
183138,2013,+,6,
183138,2248,r,6,
183138,3123,r,7,
183138,4111,r,7,
183138,4544,r,6,
183138,4688,+,6,
183138,5127,+,6,
183138,5137,1,6,
183138,5165,r,6,
183138,5432,+,6,
183138,6477,2a,6,
183138,8058,1,1,
183138,8218,+,6,
183138,8375,1,6,
183138,8653,r,7,
183138,8844,+,7,
183138,8851,4,1,
183138,8851,2m,7,
183138,9408,+,7,
183138,12072,r,6,
183138,12126,+,1,
183139,705,1,6,
183139,1174,3,6,
183139,2013,r,6,
183139,2235,2m,6,
183139,2250,r,6,
183139,3354,+,6,
183139,4231,r,6,
183139,4283,2m,6,
183139,4552,r,6,
183139,4589,r,6,
183139,5165,r,6,
183139,5353,+,6,
183139,8042,r,6,
183139,8058,2m,1,
183139,8218,2a,6,
183139,8375,+,6,
183139,8851,4,1,
183139,8851,2b,7,
183139,9408,r,7,
183139,10337,+,7,
183139,10563,1,6,
183139,11833,+,6,
183139,12126,+,1,
183140,705,r,6,
183140,1174,3,6,
183140,2022,+,6,
183140,4283,2a,6,
183140,5165,+,6,
183140,8851,4,1,
183140,8851,2a,7,
183141,1174,3,6,
183141,2013,r,6,
183141,2018,+,6,
183141,2250,+,6,
183141,4231,r,6,
183141,4283,2m,6,
183141,5127,+,6,
